"Step","ours_withoutwarmup_seed3 - 8cover_rate","ours_withoutwarmup_seed2 - 8cover_rate","ours_withoutwarmup_seed1 - 8cover_rate"
"105000","0.8199","0.8718499999999999","0.8497"
"210000","0.80355","0.8588","0.82935"
"315000","0.7922","0.859","0.83335"
"420000","0.7905","0.8607","0.825"
"525000","0.78315","0.8644","0.8083499999999999"
"630000","0.7815500000000001","0.85765","0.8159"
"735000","0.7706","0.8643500000000001","0.823"
"840000","0.77125","0.8737999999999999","0.82605"
"945000","0.7606499999999998","0.8675999999999999","0.8061"
"1050000","0.76275","0.87725","0.81655"
"1155000","0.7746999999999999","0.8695999999999999","0.8139000000000001"
"1260000","0.7774500000000001","0.8763","0.8169"
"1365000","0.7818999999999999","0.8716499999999999","0.80995"
"1470000","0.7732","0.87775","0.8042999999999999"
"1575000","0.7793999999999999","0.87875","0.8232999999999999"
"1680000","0.7826000000000001","0.8806","0.82105"
"1785000","0.7955999999999999","0.88595","0.8167000000000001"
"1890000","0.79845","0.8764500000000001","0.8195"
"1995000","0.78875","0.8809","0.8208499999999999"
"2100000","0.7950499999999999","0.8878999999999999","0.816"
"2205000","0.7988","0.8865","0.8127000000000001"
"2310000","0.7875","0.89625","0.82825"
"2415000","0.7938000000000001","0.8949000000000001","0.8296"
"2520000","0.78765","0.89615","0.8345"
"2625000","0.78125","0.89025","0.83835"
"2730000","0.7765","0.8861","0.8362"
"2835000","0.7894500000000001","0.8789499999999999","0.8257499999999999"
"2940000","0.7918999999999999","0.87595","0.83465"
"3045000","0.7961500000000001","0.87115","0.8319"
"3150000","0.7898000000000001","0.8702000000000001","0.8324"
"3255000","0.79825","0.869","0.836"
"3360000","0.79055","0.8665499999999999","0.8399500000000001"
"3465000","0.8042999999999999","0.8875","0.8332"
"3570000","0.7965","0.87805","0.8486999999999999"
"3675000","0.7816000000000001","0.88325","0.8504499999999999"
"3780000","0.80065","0.8868499999999999","0.84145"
"3885000","0.78835","0.86195","0.84545"
"3990000","0.802","0.87795","0.8466"
"4095000","0.8041","0.8903","0.8477"
"4200000","0.8161499999999999","0.8853","0.8489"
"4305000","0.79825","0.8843","0.84425"
"4410000","0.80155","0.9012","0.8531500000000001"
"4515000","0.8112","0.8956","0.85465"
"4620000","0.8130499999999999","0.8806499999999999","0.84865"
