"Step","mix37_sp_seed1 - 8cover_rate"
"136500","0.8298"
"273000","0.8355"
"409500","0.82735"
"546000","0.8196"
"682500","0.8401"
"819000","0.82105"
"955500","0.8139"
"1092000","0.81035"
"1228500","0.8045999999999999"
"1365000","0.8217"
"1501500","0.82545"
"1638000","0.8257000000000001"
"1774500","0.82055"
"1911000","0.80455"
"2047500","0.7970499999999999"
"2184000","0.8197000000000001"
"2320500","0.7962"
"2457000","0.80135"
"2593500","0.7844"
"2730000","0.79765"
"2866500","0.8225999999999999"
"3003000","0.8285"
"3139500","0.8272"
"3276000","0.83875"
"3412500","0.8442000000000001"
"3549000","0.8401499999999998"
"3685500","0.8463499999999999"
"3822000","0.8509"
"3927000","0.85965"
"4032000","0.8502000000000001"
"4137000","0.8556999999999999"
"4242000","0.8569499999999999"
"4347000","0.86715"
"4452000","0.8717499999999999"
"4557000","0.86525"
"4662000","0.8603999999999999"
"4767000","0.8689000000000001"
"4872000","0.8728499999999999"
"4977000","0.8806999999999999"
"5082000","0.872"
"5187000","0.8775"
"5292000","0.88025"
"5397000","0.88255"
"5502000","0.8767999999999999"
"5607000","0.87815"
"5712000","0.8793499999999999"
"5817000","0.8757999999999999"
"5922000","0.8733000000000001"
"6027000","0.8799499999999999"
"6132000","0.8915"
"6237000","0.8761"
"6342000","0.8812000000000001"
"6447000","0.885"
"6552000","0.8891"
"6657000","0.8883"
"6762000","0.88515"
"6867000","0.8824"
"6972000","0.8800999999999999"
"7077000","0.88115"
"7182000","0.88045"
"7287000","0.8940499999999999"
"7392000","0.8734500000000001"
"7497000","0.8785499999999999"
"7602000","0.8635999999999999"
"7707000","0.8622000000000001"
"7812000","0.8826499999999999"
"7917000","0.8886999999999999"
"8022000","0.88495"
"8127000","0.8906"
"8232000","0.9141"
"8337000","0.8993999999999999"
"8442000","0.9037"
"8547000","0.8993499999999999"
"8652000","0.8969"
"8757000","0.8857999999999999"
"8862000","0.89875"
"8967000","0.8705999999999999"
"9072000","0.8689000000000001"
"9177000","0.866"
"9282000","0.8733"
"9387000","0.8819"
"9492000","0.8755499999999999"
"9597000","0.88195"
"9702000","0.8874000000000001"
"9807000","0.9108"
"9912000","0.92165"
"10017000","0.90985"
"10122000","0.91005"
"10227000","0.9059"
"10332000","0.9071"
"10437000","0.905"
"10542000","0.90975"
"10647000","0.90655"
"10752000","0.92385"
"10857000","0.92125"
"10962000","0.91435"
"11067000","0.9173"
"11172000","0.91605"
"11277000","0.9166"
"11382000","0.91655"
"11487000","0.91005"
"11592000","0.9102"
"11697000","0.9"
"11802000","0.91215"
"11907000","0.9126"
"12012000","0.91585"
"12117000","0.91"
"12222000","0.928"
"12327000","0.9241"
"12432000","0.926"
"12537000","0.91115"
"12642000","0.9334"
"12747000","0.93185"
"12852000","0.92865"
"12957000","0.9346"
"13062000","0.92725"
"13167000","0.93815"
"13272000","0.9379"
"13377000","0.9494"
"13482000","0.94745"
"13587000","0.9466"
"13692000","0.9445"
"13797000","0.9369"
"13902000","0.9476"
"14007000","0.95115"
"14112000","0.95325"
"14217000","0.944"
"14322000","0.9381"
