"Step","ours_seed2 - test_success_rate","ours_seed2 - test_success_rate__MIN","ours_seed2 - test_success_rate__MAX"
"93600","0","0","0"
"187200","0","0","0"
"280800","0.003","0.003","0.003"
"374400","0","0","0"
"468000","0","0","0"
"561600","0","0","0"
"655200","0","0","0"
"748800","0","0","0"
"842400","0","0","0"
"936000","0","0","0"
"1029600","0","0","0"
"1123200","0","0","0"
"1216800","0","0","0"
"1310400","0","0","0"
"1404000","0","0","0"
"1497600","0","0","0"
"1591200","0","0","0"
"1684800","0.005","0.005","0.005"
"1778400","0","0","0"
"1872000","0","0","0"
"1965600","0","0","0"
"2059200","0","0","0"
"2152800","0","0","0"
"2246400","0.005","0.005","0.005"
"2340000","0","0","0"
"2433600","0","0","0"
"2527200","0","0","0"
"2620800","0","0","0"
"2714400","0","0","0"
"2808000","0","0","0"
"2901600","0.005","0.005","0.005"
"2995200","0","0","0"
"3088800","0.005","0.005","0.005"
"3182400","0.002","0.002","0.002"
"3276000","0.004","0.004","0.004"
"3369600","0.005","0.005","0.005"
"3463200","0.002","0.002","0.002"
"3556800","0.008","0.008","0.008"
"3650400","0.009","0.009","0.009"
"3744000","0.014","0.014","0.014"
"3837600","0.004","0.004","0.004"
"3931200","0.012","0.012","0.012"
"4024800","0","0","0"
"4118400","0.006","0.006","0.006"
"4212000","0.006","0.006","0.006"
"4305600","0.014","0.014","0.014"
"4399200","0.02","0.02","0.02"
"4492800","0.007","0.007","0.007"
"4586400","0.017","0.017","0.017"
"4680000","0.011","0.011","0.011"
"4773600","0.003","0.003","0.003"
"4867200","0.007","0.007","0.007"
"4960800","0.012","0.012","0.012"
"5054400","0.01","0.01","0.01"
"5148000","0.01","0.01","0.01"
"5241600","0.016","0.016","0.016"
"5335200","0.016","0.016","0.016"
"5428800","0.011","0.011","0.011"
"5522400","0.007","0.007","0.007"
"5616000","0.011","0.011","0.011"
"5709600","0.014","0.014","0.014"
"5803200","0.012","0.012","0.012"
"5896800","0.009","0.009","0.009"
"5990400","0.019","0.019","0.019"
"6084000","0.005","0.005","0.005"
"6177600","0.001","0.001","0.001"
"6271200","0.008","0.008","0.008"
"6364800","0.017","0.017","0.017"
"6458400","0.017","0.017","0.017"
"6552000","0.016","0.016","0.016"
"6645600","0.024","0.024","0.024"
"6739200","0.02","0.02","0.02"
"6832800","0.016","0.016","0.016"
"6926400","0.007","0.007","0.007"
"7020000","0.016","0.016","0.016"
"7113600","0.014","0.014","0.014"
"7207200","0.022","0.022","0.022"
"7300800","0.016","0.016","0.016"
"7394400","0.019","0.019","0.019"
"7488000","0.017","0.017","0.017"
"7581600","0.017","0.017","0.017"
"7675200","0.01","0.01","0.01"
"7768800","0.022","0.022","0.022"
"7862400","0.011","0.011","0.011"
"7956000","0.03","0.03","0.03"
"8049600","0.026","0.026","0.026"
"8143200","0.018","0.018","0.018"
"8236800","0.036","0.036","0.036"
"8330400","0.022","0.022","0.022"
"8424000","0.016","0.016","0.016"
"8517600","0.012","0.012","0.012"
"8611200","0.027","0.027","0.027"
"8704800","0.018","0.018","0.018"
"8798400","0.028","0.028","0.028"
"8892000","0.034","0.034","0.034"
"8985600","0.021","0.021","0.021"
"9079200","0.035","0.035","0.035"
"9172800","0.035","0.035","0.035"
"9266400","0.025","0.025","0.025"
"9360000","0.033","0.033","0.033"
"9453600","0.032","0.032","0.032"
"9547200","0.059","0.059","0.059"
"9640800","0.038","0.038","0.038"
"9734400","0.042","0.042","0.042"
"9828000","0.03","0.03","0.03"
"9921600","0.031","0.031","0.031"
"10015200","0.036","0.036","0.036"
"10108800","0.043","0.043","0.043"
"10202400","0.046","0.046","0.046"
"10296000","0.054","0.054","0.054"
"10389600","0.063","0.063","0.063"
"10483200","0.064","0.064","0.064"
"10576800","0.099","0.099","0.099"
"10670400","0.062","0.062","0.062"
"10764000","0.072","0.072","0.072"
"10857600","0.067","0.067","0.067"
"10951200","0.121","0.121","0.121"
"11044800","0.109","0.109","0.109"
"11138400","0.1","0.1","0.1"
"11232000","0.101","0.101","0.101"
"11325600","0.128","0.128","0.128"
"11419200","0.133","0.133","0.133"
"11512800","0.175","0.175","0.175"
"11606400","0.161","0.161","0.161"
"11700000","0.228","0.228","0.228"
"11793600","0.287","0.287","0.287"
"11887200","0.208","0.208","0.208"
"11980800","0.254","0.254","0.254"
"12074400","0.217","0.217","0.217"
"12168000","0.247","0.247","0.247"
"12261600","0.284","0.284","0.284"
"12355200","0.28","0.28","0.28"
"12448800","0.331","0.331","0.331"
"12542400","0.344","0.344","0.344"
"12636000","0.353","0.353","0.353"
"12729600","0.374","0.374","0.374"
"12823200","0.34","0.34","0.34"
"12916800","0.377","0.377","0.377"
"13010400","0.445","0.445","0.445"
"13104000","0.389","0.389","0.389"
"13197600","0.334","0.334","0.334"
"13291200","0.414","0.414","0.414"
"13384800","0.48","0.48","0.48"
"13478400","0.408","0.408","0.408"
"13572000","0.46","0.46","0.46"
"13665600","0.466","0.466","0.466"
"13759200","0.553","0.553","0.553"
"13852800","0.524","0.524","0.524"
"13946400","0.544","0.544","0.544"
"14040000","0.522","0.522","0.522"
"14133600","0.635","0.635","0.635"
"14227200","0.581","0.581","0.581"
"14320800","0.624","0.624","0.624"
"14414400","0.641","0.641","0.641"
"14508000","0.635","0.635","0.635"
"14601600","0.749","0.749","0.749"
"14695200","0.756","0.756","0.756"
"14788800","0.771","0.771","0.771"
"14882400","0.73","0.73","0.73"
"14976000","0.835","0.835","0.835"
"15069600","0.768","0.768","0.768"
"15163200","0.76","0.76","0.76"
"15256800","0.794","0.794","0.794"
"15350400","0.832","0.832","0.832"
