"Step","mixdecay1to0_fre3_seed1 - 8cover_rate"
"204960","0.8645499999999999"
"404670","0.8604749999999999"
"598920","0.8601749999999999"
"787920","0.8571749999999999"
"971460","0.873875"
"1150170","0.875"
"1323420","0.8784249999999999"
"1491420","0.8906499999999999"
"1653960","0.8862000000000001"
"1811670","0.8775499999999999"
"1963920","0.870425"
"2110920","0.8765"
"2252460","0.871"
"2389170","0.871975"
"2520420","0.872275"
"2646420","0.881875"
"2766960","0.874925"
"2882670","0.8707749999999999"
"2992920","0.8532750000000001"
"3097920","0.856075"
"3202920","0.8611749999999999"
"3307920","0.866775"
"3412920","0.85945"
"3517920","0.8539"
"3622920","0.86405"
"3727920","0.8718250000000001"
"3832920","0.8625999999999999"
"3937920","0.85705"
"4042920","0.84265"
"4147920","0.8665750000000001"
"4252920","0.8617"
"4357920","0.8644000000000001"
"4462920","0.8596500000000001"
"4567920","0.8618499999999999"
"4672920","0.851525"
"4777920","0.850075"
"4882920","0.8543"
"4987920","0.846975"
"5092920","0.8497"
"5197920","0.8627999999999999"
"5302920","0.842425"
"5407920","0.8433999999999999"
"5512920","0.8515999999999999"
"5617920","0.8577250000000001"
"5722920","0.8538999999999999"
"5827920","0.837125"
"5932920","0.8459"
"6037920","0.849375"
"6142920","0.8456"
"6247920","0.8533"
"6352920","0.867775"
"6457920","0.859"
"6562920","0.861375"
"6667920","0.862825"
"6772920","0.864125"
"6877920","0.8653249999999999"
"6982920","0.8793499999999999"
"7087920","0.8797249999999999"
"7192920","0.872"
"7297920","0.87585"
"7402920","0.8725749999999999"
"7507920","0.883825"
"7612920","0.8803"
"7717920","0.8967999999999999"
"7822920","0.8926499999999998"
"7927920","0.8979749999999999"
"8032920","0.907175"
"8137920","0.9011"
"8242920","0.90375"
"8347920","0.8999499999999999"
"8452920","0.9074"
"8557920","0.9021"
"8662920","0.89545"
"8767920","0.90305"
"8872920","0.90065"
"8977920","0.9044"
"9082920","0.910075"
"9187920","0.908175"
"9292920","0.91345"
"9397920","0.910275"
"9502920","0.904125"
"9607920","0.8974000000000001"
"9712920","0.873125"
"9817920","0.8927999999999999"
"9922920","0.8990750000000001"
"10027920","0.8760999999999999"
"10132920","0.89015"
"10237920","0.90645"
"10342920","0.91615"
"10447920","0.910825"
"10552920","0.911025"
"10657920","0.8955250000000001"
"10762920","0.9003499999999999"
"10867920","0.8969499999999999"
"10972920","0.892675"
"11077920","0.8979749999999999"
"11182920","0.884625"
"11287920","0.899675"
"11392920","0.8958250000000001"
"11497920","0.8915249999999999"
"11602920","0.8968499999999999"
"11707920","0.89975"
"11812920","0.907025"
"11917920","0.905925"
"12022920","0.91985"
"12127920","0.939425"
"12232920","0.882925"
"12337920","0.8945"
"12442920","0.8997249999999999"
"12547920","0.901775"
"12652920","0.91105"
"12757920","0.911925"
"12862920","0.909975"
"12967920","0.913725"
"13072920","0.904325"
"13177920","0.910325"
"13282920","0.9131"
"13387920","0.900975"
"13492920","0.913675"
"13597920","0.910075"
"13702920","0.89835"
"13807920","0.902625"
"13912920","0.921425"
"14017920","0.9114"
"14122920","0.914"
"14227920","0.914"
"14332920","0.92895"
"14437920","0.92915"
"14542920","0.936525"
"14647920","0.9435249999999998"
"14752920","0.950325"
"14857920","0.9468"
"14962920","0.950775"
"15067920","0.9521"
"15172920","0.946975"
"15277920","0.94905"
"15382920","0.949325"
"15487920","0.936875"
"15592920","0.92935"
"15697920","0.9255"
"15802920","0.924425"
"15907920","0.927975"
"16012920","0.943525"
"16117920","0.9405"
"16222920","0.942"
"16327920","0.9449"
"16432920","0.9411499999999998"
"16537920","0.9429"
"16642920","0.9506"
"16747920","0.947025"
"16852920","0.951925"
"16957920","0.9539"
"17062920","0.95165"
"17167920","0.96175"
"17272920","0.960025"
"17377920","0.95185"
"17482920","0.953525"
"17587920","0.9533"
"17692920","0.953475"
"17797920","0.961025"
"17902920","0.962225"
"18007920","0.957325"
"18112920","0.956725"
"18217920","0.958"
"18322920","0.951925"
"18427920","0.94725"
"18532920","0.93005"
