"Step","mixdecay4n8_only4decay_seed1 - 8cover_rate"
"21157290","0.83545"
"21314580","0.8265999999999999"
"21471870","0.81555"
"21629160","0.83715"
"21786450","0.8375499999999999"
"21943740","0.8515"
"22101030","0.84105"
"22258320","0.8077000000000001"
"22415610","0.8206"
"22572900","0.82425"
"22724940","0.81635"
"22876980","0.8276999999999999"
"23029020","0.83095"
"23181060","0.8391"
"23333100","0.8406999999999999"
"23485140","0.8412"
"23637180","0.8271999999999999"
"23789220","0.81475"
"23941260","0.8402999999999999"
"24093300","0.8436999999999999"
"24240300","0.8504499999999999"
"24387300","0.84175"
"24534300","0.8585499999999999"
"24681300","0.84445"
"24828300","0.845"
"24975300","0.8531499999999999"
"25122300","0.85535"
"25269300","0.8734500000000001"
"25416300","0.8558499999999999"
"25563300","0.8684"
"25705050","0.8668499999999999"
"25846800","0.87425"
"25988550","0.8866499999999999"
"26130300","0.86"
"26272050","0.865"
"26413800","0.8378"
"26555550","0.86165"
"26697300","0.853"
"26839050","0.87235"
"26980800","0.8203499999999999"
"27117300","0.8342999999999999"
"27253800","0.838"
"27390300","0.8563"
"27526800","0.84405"
"27663300","0.87285"
"27799800","0.87"
"27936300","0.8689"
"28072800","0.8782000000000001"
"28209300","0.8722000000000001"
"28345800","0.868"
"28477260","0.88575"
"28608720","0.87175"
"28740180","0.87135"
"28871640","0.87525"
"29003100","0.8867"
"29134560","0.8854500000000001"
"29266020","0.8875"
"29397480","0.89255"
"29528940","0.8906999999999999"
"29660400","0.89855"
"29786400","0.8902"
"29912400","0.8851"
"30038400","0.8892"
"30164400","0.8923"
"30290400","0.8933"
"30416400","0.894"
"30542400","0.8453499999999999"
"30668400","0.861"
"30794400","0.8675499999999999"
"30920400","0.86835"
"31041150","0.8735499999999999"
"31161900","0.87615"
"31282650","0.8883499999999999"
"31403400","0.8963"
"31524150","0.8978"
"31644900","0.90115"
"31765650","0.8985"
"31886400","0.9033"
"32007150","0.91245"
"32127900","0.91195"
"32243190","0.91705"
"32358480","0.91385"
"32473770","0.9221"
"32589060","0.92245"
"32704350","0.9206"
"32819640","0.92445"
"32934930","0.9293"
"33050220","0.93015"
"33165510","0.9317"
"33280800","0.91685"
"33391260","0.92955"
"33501720","0.917"
"33612180","0.92115"
"33722640","0.91585"
"33833100","0.91625"
"33943560","0.8920999999999999"
"34054020","0.881"
"34164480","0.8833"
"34274940","0.6893499999999999"
"34385400","0.6968499999999999"
"34490400","0.69985"
"34595400","0.6968"
"34700400","0.6875"
"34805400","0.70875"
"34910400","0.7195499999999999"
"35015400","0.7265499999999999"
"35120400","0.7322000000000001"
"35225400","0.7629"
"35330400","0.7773999999999999"
"35435400","0.7515499999999999"
"35540400","0.76185"
"35645400","0.7698499999999999"
"35750400","0.7585"
"35855400","0.76605"
"35960400","0.7768999999999999"
"36065400","0.77855"
"36170400","0.7706000000000001"
"36275400","0.7778499999999999"
"36380400","0.78865"
"36485400","0.7918499999999999"
"36590400","0.7873"
"36695400","0.79225"
"36800400","0.7847000000000001"
"36905400","0.7897"
"37010400","0.81255"
"37115400","0.82265"
"37220400","0.83425"
"37325400","0.8388"
"37430400","0.8469"
"37535400","0.8585999999999999"
"37640400","0.8617999999999999"
"37745400","0.8545999999999999"
"37850400","0.8823"
"37955400","0.8734"
"38060400","0.86845"
"38165400","0.868"
"38270400","0.8715499999999999"
"38375400","0.87525"
"38480400","0.8844"
"38585400","0.89415"
"38690400","0.8869"
"38795400","0.9004500000000001"
"38900400","0.896"
"39005400","0.90415"
"39110400","0.8904500000000001"
"39215400","0.89625"
"39320400","0.899"
"39425400","0.8834"
"39530400","0.8797"
"39635400","0.88275"
"39740400","0.8958499999999999"
"39845400","0.8880500000000001"
"39950400","0.8819"
"40055400","0.8980499999999999"
"40160400","0.9168"
"40265400","0.9141"
"40370400","0.9159"
"40475400","0.9262"
"40580400","0.90475"
"40685400","0.91645"
"40790400","0.90035"
"40895400","0.9113"
"41000400","0.91325"
"41105400","0.9273"
"41210400","0.9289"
"41315400","0.93495"
"41420400","0.9212"
"41525400","0.9248"
"41630400","0.9355"
"41735400","0.9163"
"41840400","0.90905"
"41945400","0.9014"
"42050400","0.90055"
"42155400","0.89655"
"42260400","0.924"
"42365400","0.9455"
"42470400","0.9362"
"42575400","0.92665"
"42680400","0.9246"
"42785400","0.91365"
"42890400","0.9086"
"42995400","0.8987"
"43100400","0.92395"
"43205400","0.93975"
"43310400","0.93025"
"43415400","0.93775"
"43520400","0.94335"
"43625400","0.95035"
