"Step","sp_min0.75_seed2 - cover_rate_1step"
"105000","0"
"210000","0.002"
"315000","0.0025"
"420000","0.0065"
"525000","0.0075"
"630000","0.008"
"735000","0.0055"
"840000","0.006"
"945000","0.0105"
"1050000","0.0165"
"1155000","0.07"
"1260000","0.1325"
"1365000","0.2215"
"1470000","0.232"
"1575000","0.273"
"1680000","0.272"
"1785000","0.265"
"1890000","0.2915"
"1995000","0.3015"
"2100000","0.3325"
"2205000","0.333"
"2310000","0.3435"
"2415000","0.352"
"2520000","0.368"
"2625000","0.364"
"2730000","0.381"
"2835000","0.3885"
"2940000","0.3945"
"3045000","0.3905"
"3150000","0.378"
"3255000","0.359"
"3360000","0.367"
"3465000","0.371"
"3570000","0.382"
"3675000","0.364"
"3780000","0.393"
"3885000","0.398"
"3990000","0.4065"
"4095000","0.427"
"4200000","0.4045"
"4305000","0.4375"
"4410000","0.4305"
"4515000","0.425"
"4620000","0.415"
"4725000","0.4375"
"4830000","0.4125"
"4935000","0.435"
"5040000","0.464"
"5145000","0.466"
"5250000","0.455"
"5355000","0.4685"
"5460000","0.474"
"5565000","0.483"
"5670000","0.491"
"5775000","0.4905"
"5880000","0.5055"
"5985000","0.5155"
"6090000","0.51"
"6195000","0.5245"
"6300000","0.539"
"6405000","0.5475"
"6510000","0.5575"
"6615000","0.549"
"6720000","0.5745"
"6825000","0.581"
"6930000","0.5615"
"7035000","0.5565"
"7140000","0.564"
"7245000","0.5655"
"7350000","0.57"
"7455000","0.571"
"7560000","0.613"
"7665000","0.5575"
"7770000","0.549"
"7875000","0.571"
"7980000","0.57"
"8085000","0.5815"
"8190000","0.5685"
"8295000","0.576"
"8400000","0.596"
"8505000","0.621"
"8610000","0.555"
"8715000","0.5655"
"8820000","0.5665"
"8925000","0.58"
"9030000","0.5605"
"9135000","0.6"
"9240000","0.607"
"9345000","0.619"
"9450000","0.623"
"9555000","0.615"
"9660000","0.597"
"9765000","0.602"
"9870000","0.614"
"9975000","0.614"
"10080000","0.614"
"10185000","0.643"
"10290000","0.6085"
"10395000","0.645"
"10500000","0.6715"
"10605000","0.63"
"10710000","0.637"
"10815000","0.643"
"10920000","0.6435"
"11025000","0.66"
"11130000","0.646"
"11235000","0.632"
"11340000","0.644"
"11445000","0.6495"
