"Step","reverse_pb_eval1_final_version_seed3 - cover_rate_1step"
"60000","0.021"
"120000","0.014"
"180000","0.017"
"240000","0.016"
"300000","0.012"
"360000","0.018"
"420000","0.016"
"480000","0.015"
"540000","0.018"
"600000","0.012"
"660000","0.014"
"720000","0.014"
"780000","0.008"
"840000","0.014"
"900000","0.017"
"960000","0.009"
"1020000","0.014"
"1080000","0.011"
"1140000","0.016"
"1200000","0.02"
"1260000","0.016"
"1320000","0.015"
"1380000","0.019"
"1440000","0.017"
"1500000","0.013"
"1560000","0.017"
"1620000","0.021"
"1680000","0.015"
"1740000","0.017"
"1800000","0.013"
"1860000","0.014"
"1920000","0.015"
"1980000","0.015"
"2040000","0.017"
"2100000","0.017"
"2160000","0.019"
"2220000","0.021"
"2280000","0.019"
"2340000","0.024"
"2400000","0.019"
"2460000","0.015"
"2520000","0.012"
"2580000","0.011"
"2640000","0.013"
"2700000","0.008"
"2760000","0.014"
"2820000","0.019"
"2880000","0.021"
"2940000","0.017"
"3000000","0.019"
"3060000","0.015"
"3120000","0.014"
"3180000","0.024"
"3240000","0.016"
"3300000","0.014"
"3360000","0.019"
"3420000","0.016"
"3480000","0.019"
"3540000","0.024"
"3600000","0.019"
"3660000","0.027"
"3720000","0.022"
"3780000","0.012"
"3840000","0.013"
"3900000","0.021"
"3960000","0.022"
"4020000","0.017"
"4080000","0.022"
"4140000","0.009"
"4200000","0.013"
"4260000","0.022"
"4320000","0.009"
"4380000","0.016"
"4440000","0.016"
"4500000","0.02"
"4560000","0.013"
"4620000","0.013"
"4680000","0.015"
"4740000","0.016"
"4800000","0.022"
"4860000","0.013"
"4920000","0.018"
"4980000","0.019"
"5040000","0.024"
"5100000","0.016"
"5160000","0.018"
"5220000","0.012"
"5280000","0.015"
"5340000","0.013"
"5400000","0.02"
"5460000","0.014"
"5520000","0.015"
"5580000","0.011"
"5640000","0.019"
"5700000","0.01"
"5760000","0.015"
"5820000","0.015"
"5880000","0.019"
"5940000","0.015"
"6000000","0.019"
"6060000","0.022"
"6120000","0.019"
"6180000","0.015"
"6240000","0.016"
"6300000","0.01"
"6360000","0.015"
"6420000","0.012"
"6480000","0.018"
"6540000","0.019"
"6600000","0.022"
"6660000","0.028"
"6720000","0.013"
"6780000","0.016"
"6840000","0.015"
"6900000","0.02"
"6960000","0.014"
"7020000","0.01"
"7080000","0.017"
"7140000","0.014"
"7200000","0.013"
"7260000","0.013"
"7320000","0.012"
"7380000","0.013"
"7440000","0.022"
"7500000","0.017"
"7560000","0.016"
"7620000","0.01"
"7680000","0.018"
"7740000","0.013"
"7800000","0.011"
"7860000","0.016"
"7920000","0.012"
"7980000","0.017"
"8040000","0.016"
"8100000","0.015"
"8160000","0.015"
"8220000","0.014"
"8280000","0.02"
"8340000","0.014"
"8400000","0.024"
"8460000","0.022"
"8520000","0.013"
"8580000","0.018"
"8640000","0.012"
"8700000","0.009"
"8760000","0.011"
"8820000","0.01"
"8880000","0.018"
"8940000","0.013"
"9000000","0.023"
"9060000","0.013"
"9120000","0.018"
"9180000","0.02"
"9240000","0.024"
"9300000","0.012"
"9360000","0.024"
"9420000","0.018"
"9480000","0.025"
"9540000","0.01"
"9600000","0.019"
"9660000","0.017"
"9720000","0.014"
"9780000","0.019"
"9840000","0.02"
"9900000","0.016"
"9960000","0.015"
"10020000","0.021"
"10080000","0.013"
"10140000","0.021"
"10200000","0.016"
"10260000","0.021"
"10320000","0.023"
"10380000","0.018"
"10440000","0.013"
"10500000","0.023"
"10560000","0.017"
"10620000","0.022"
"10680000","0.015"
"10740000","0.015"
"10800000","0.024"
"10860000","0.016"
"10920000","0.015"
"10980000","0.022"
"11040000","0.02"
"11100000","0.03"
"11160000","0.01"
"11220000","0.021"
"11280000","0.016"
"11340000","0.021"
"11400000","0.012"
"11460000","0.019"
"11520000","0.012"
"11580000","0.009"
"11640000","0.018"
"11700000","0.023"
"11760000","0.015"
"11820000","0.016"
"11880000","0.021"
"11940000","0.023"
"12000000","0.027"
"12060000","0.024"
"12120000","0.023"
"12180000","0.021"
"12240000","0.031"
"12300000","0.023"
"12360000","0.021"
"12420000","0.023"
"12480000","0.024"
"12540000","0.026"
"12600000","0.028"
"12660000","0.02"
"12720000","0.022"
"12780000","0.018"
"12840000","0.015"
"12900000","0.031"
"12960000","0.018"
"13020000","0.021"
"13080000","0.022"
"13140000","0.028"
"13200000","0.028"
"13260000","0.019"
"13320000","0.022"
"13380000","0.024"
"13440000","0.024"
"13500000","0.031"
"13560000","0.022"
"13620000","0.02"
"13680000","0.029"
"13740000","0.035"
"13800000","0.022"
"13860000","0.027"
"13920000","0.021"
"13980000","0.025"
"14040000","0.021"
"14100000","0.026"
"14160000","0.028"
"14220000","0.023"
"14280000","0.027"
"14340000","0.029"
"14400000","0.029"
"14460000","0.024"
"14520000","0.02"
"14580000","0.027"
"14640000","0.034"
"14700000","0.05"
"14760000","0.023"
"14820000","0.023"
"14880000","0.033"
"14940000","0.025"
"15000000","0.032"
"15060000","0.021"
"15120000","0.03"
"15180000","0.036"
"15240000","0.027"
"15300000","0.027"
"15360000","0.036"
"15420000","0.033"
"15480000","0.034"
"15540000","0.031"
"15600000","0.033"
"15660000","0.036"
"15720000","0.034"
"15780000","0.03"
"15840000","0.041"
"15900000","0.034"
"15960000","0.039"
"16020000","0.035"
"16080000","0.043"
"16140000","0.038"
"16200000","0.034"
"16260000","0.042"
"16320000","0.032"
"16380000","0.037"
"16440000","0.042"
"16500000","0.033"
"16560000","0.038"
"16620000","0.048"
"16680000","0.056"
"16740000","0.043"
"16800000","0.053"
"16860000","0.045"
"16920000","0.044"
"16980000","0.048"
"17040000","0.032"
"17100000","0.044"
"17160000","0.038"
"17220000","0.047"
"17280000","0.046"
"17340000","0.052"
"17400000","0.04"
"17460000","0.051"
"17520000","0.059"
"17580000","0.05"
"17640000","0.048"
"17700000","0.042"
"17760000","0.047"
"17820000","0.06"
"17880000","0.042"
"17940000","0.06"
"18000000","0.059"
