"Step","phase_sp_ppotrue_seed2 - 8cover_rate"
"105000","0.8825"
"210000","0.8719"
"315000","0.87395"
"420000","0.8803499999999999"
"525000","0.8906000000000001"
"630000","0.8779499999999999"
"735000","0.86835"
"840000","0.8877999999999999"
"945000","0.89075"
"1050000","0.889"
"1155000","0.8859000000000001"
"1260000","0.8895"
"1365000","0.8898999999999999"
"1470000","0.8828499999999999"
"1575000","0.88515"
"1680000","0.86405"
"1785000","0.86115"
"1890000","0.86205"
"1995000","0.8699"
"2100000","0.8597"
"2205000","0.8806499999999999"
"2310000","0.8845999999999999"
"2415000","0.88925"
"2520000","0.8747999999999999"
"2625000","0.88315"
"2730000","0.88675"
"2835000","0.8792"
"2940000","0.8726499999999999"
"3045000","0.879"
"3150000","0.8856499999999999"
"3255000","0.895"
"3360000","0.8964500000000001"
"3465000","0.8859999999999999"
"3570000","0.88705"
"3675000","0.8879"
"3780000","0.886"
"3885000","0.8851500000000001"
"3990000","0.89355"
"4095000","0.8847999999999999"
"4200000","0.89095"
"4305000","0.8846499999999999"
"4410000","0.8991999999999999"
"4515000","0.8959499999999999"
"4620000","0.9041"
"4725000","0.8984500000000001"
"4830000","0.89765"
"4935000","0.9051"
"5040000","0.90125"
"5145000","0.90295"
"5250000","0.8866499999999999"
"5355000","0.9008"
"5460000","0.8839499999999999"
"5565000","0.90705"
"5670000","0.9138"
"5775000","0.90415"
"5880000","0.90065"
"5985000","0.9136"
"6090000","0.9008"
"6195000","0.9127"
"6300000","0.9103"
"6405000","0.90295"
"6510000","0.913"
"6615000","0.9117"
"6720000","0.9069"
"6825000","0.91545"
"6930000","0.91025"
"7035000","0.928"
"7140000","0.91095"
"7245000","0.91715"
"7350000","0.9164"
"7455000","0.92135"
"7560000","0.92795"
"7665000","0.92165"
"7770000","0.90945"
"7875000","0.91355"
"7980000","0.93065"
"8085000","0.9246"
"8190000","0.9162"
"8295000","0.91315"
"8400000","0.92305"
"8505000","0.9098"
"8610000","0.91375"
"8715000","0.91015"
"8820000","0.9151"
"8925000","0.90905"
"9030000","0.90515"
"9135000","0.91015"
"9240000","0.9099"
"9345000","0.92"
"9450000","0.9275"
"9555000","0.9245"
"9660000","0.9186"
"9765000","0.9215"
"9870000","0.91545"
"9975000","0.9232"
"10080000","0.9236"
"10185000","0.9233"
"10290000","0.93465"
"10395000","0.9364"
"10500000","0.9285"
"10605000","0.9261"
"10710000","0.92305"
"10815000","0.9185"
"10920000","0.9212"
"11025000","0.9294"
"11130000","0.93435"
"11235000","0.92305"
"11340000","0.9362"
"11445000","0.93315"
"11550000","0.92605"
"11655000","0.9155"
"11760000","0.92175"
"11865000","0.91485"
"11970000","0.9239"
"12075000","0.9306"
"12180000","0.9347"
"12285000","0.9426"
"12390000","0.94105"
"12495000","0.9282"
"12600000","0.9468"
"12705000","0.92215"
"12810000","0.92335"
"12915000","0.93575"
"13020000","0.9306"
"13125000","0.9383"
"13230000","0.94055"
"13335000","0.93255"
"13440000","0.93295"
"13545000","0.9358"
"13650000","0.93555"
"13755000","0.9457"
"13860000","0.94875"
"13965000","0.9498"
"14070000","0.9421"
"14175000","0.94755"
"14280000","0.9444"
"14385000","0.9493"
"14490000","0.95475"
"14595000","0.95705"
"14700000","0.95915"
"14805000","0.9555"
"14910000","0.9604"
"15015000","0.9528"
"15120000","0.9514"
"15225000","0.9615"
"15330000","0.95585"
"15435000","0.95965"
"15540000","0.9587"
"15645000","0.96365"
"15750000","0.9611"
"15855000","0.95975"
"15960000","0.9565"
"16065000","0.96235"
"16170000","0.96005"
"16275000","0.96035"
"16380000","0.9598"
"16485000","0.9582"
"16590000","0.9585"
"16695000","0.9586"
"16800000","0.96175"
"16905000","0.9652"
"17010000","0.9647"
"17115000","0.9646"
"17220000","0.9679"
"17325000","0.96755"
"17430000","0.9625"
"17535000","0.97095"
"17640000","0.9672"
"17745000","0.9667"
"17850000","0.97445"
"17955000","0.97155"
"18060000","0.97425"
"18165000","0.97405"
"18270000","0.97095"
"18375000","0.9664499999999998"
"18480000","0.9671"
"18585000","0.96965"
"18690000","0.96725"
"18795000","0.97335"
"18900000","0.97565"
"19005000","0.9749"
"19110000","0.97235"
"19215000","0.97445"
"19320000","0.97565"
"19425000","0.9747"
"19530000","0.9731"
"19635000","0.97585"
"19740000","0.9753"
"19845000","0.97415"
"19950000","0.97455"
"20055000","0.97955"
"20160000","0.9742"
"20265000","0.9686"
"20370000","0.9683"
"20475000","0.973"
"20580000","0.9779"
"20685000","0.9748"
"20790000","0.9764499999999998"
"20895000","0.975"
"21000000","0.98005"
"21105000","0.98155"
"21210000","0.98245"
"21315000","0.97455"
"21420000","0.9766"
"21525000","0.9735"
"21630000","0.9763999999999998"
"21735000","0.97255"
"21840000","0.9784"
"21945000","0.9753"
"22050000","0.98085"
"22155000","0.97795"
"22260000","0.98335"
"22365000","0.9798"
"22470000","0.98155"
"22575000","0.98295"
"22680000","0.9857"
"22785000","0.98415"
"22890000","0.9838"
"22995000","0.98665"
"23100000","0.98765"
"23205000","0.98625"
"23310000","0.98595"
"23415000","0.9863"
"23520000","0.9846"
"23625000","0.9851"
"23730000","0.98405"
"23835000","0.98245"
"23940000","0.98195"
"24045000","0.987"
"24150000","0.9844"
