"Step","tech3_sp3_asym-maze_withoutpastsampling_seed2 - cover_rate_5step"
"105000","0.0033"
"210000","0.0054"
"315000","0.0070999999999999995"
"420000","0.0134"
"525000","0.0114"
"630000","0.0128"
"735000","0.0145"
"840000","0.0122"
"945000","0.0114"
"1050000","0.015"
"1155000","0.0156"
"1260000","0.0136"
"1365000","0.0141"
"1470000","0.0255"
"1575000","0.0305"
"1680000","0.0402"
"1785000","0.041"
"1890000","0.0544"
"1995000","0.0927"
"2100000","0.1164"
"2205000","0.13219999999999998"
"2310000","0.1605"
"2415000","0.15419999999999998"
"2520000","0.15480000000000002"
"2625000","0.1939"
"2730000","0.1949"
"2835000","0.195"
"2940000","0.1998"
"3045000","0.2132"
"3150000","0.2199"
"3255000","0.2194"
"3360000","0.2172"
"3465000","0.2529"
"3570000","0.2398"
"3675000","0.26139999999999997"
"3780000","0.24420000000000003"
"3885000","0.23739999999999997"
"3990000","0.2408"
"4095000","0.2432"
"4200000","0.2572"
"4305000","0.2485"
"4410000","0.24070000000000005"
"4515000","0.2339"
"4620000","0.2311"
"4725000","0.2427"
"4830000","0.2772"
"4935000","0.2383"
"5040000","0.2757"
"5145000","0.24010000000000004"
"5250000","0.2718"
"5355000","0.255"
"5460000","0.2502"
"5565000","0.2492"
"5670000","0.2548"
"5775000","0.2473"
"5880000","0.23910000000000003"
"5985000","0.2468"
"6090000","0.2316"
"6195000","0.2281"
"6300000","0.2442"
"6405000","0.26489999999999997"
"6510000","0.24520000000000003"
"6615000","0.2268"
"6720000","0.2523"
"6825000","0.2352"
"6930000","0.2335"
"7035000","0.2552"
"7140000","0.23639999999999997"
"7245000","0.2405"
"7350000","0.2765"
"7455000","0.23089999999999997"
"7560000","0.23960000000000004"
"7665000","0.2261"
"7770000","0.2398"
"7875000","0.2416"
"7980000","0.23839999999999997"
"8085000","0.26230000000000003"
"8190000","0.26239999999999997"
"8295000","0.2548"
"8400000","0.2775"
"8505000","0.26620000000000005"
"8610000","0.25660000000000005"
"8715000","0.26420000000000005"
"8820000","0.2575"
"8925000","0.2437"
"9030000","0.2517"
"9135000","0.2339"
"9240000","0.2488"
"9345000","0.24720000000000003"
"9450000","0.24190000000000003"
"9555000","0.22939999999999997"
"9660000","0.2397"
"9765000","0.25839999999999996"
"9870000","0.2519"
"9975000","0.2335"
"10080000","0.2468"
"10185000","0.2403"
"10290000","0.25179999999999997"
"10395000","0.228"
"10500000","0.2455"
"10605000","0.239"
"10710000","0.2297"
"10815000","0.2373"
"10920000","0.254"
"11025000","0.25539999999999996"
"11130000","0.24670000000000003"
