"Step","decay_fre30iter_add0.1_init_optimizer_seed1 - 8cover_rate"
"199290","0.8259000000000001"
"398580","0.82485"
"597870","0.8216"
"797160","0.8413999999999999"
"996450","0.85555"
"1195740","0.85375"
"1395030","0.8534"
"1594320","0.86645"
"1793610","0.86655"
"1992900","0.87025"
"2181900","0.8677"
"2370900","0.8644"
"2559900","0.8555999999999999"
"2748900","0.8655"
"2937900","0.8703"
"3126900","0.8677999999999999"
"3315900","0.88195"
"3504900","0.8764000000000001"
"3693900","0.8755"
"3882900","0.88415"
"4061610","0.8902"
"4240320","0.8945"
"4419030","0.8988999999999998"
"4597740","0.89375"
"4776450","0.8915"
"4955160","0.89675"
"5133870","0.90425"
"5312580","0.8907"
"5491290","0.8991999999999999"
"5670000","0.89585"
"5838000","0.89325"
"6006000","0.89625"
"6174000","0.9057499999999998"
"6342000","0.90985"
"6510000","0.91155"
"6678000","0.90665"
"6846000","0.9155"
"7014000","0.9097"
"7182000","0.913"
"7350000","0.90535"
"7507290","0.9095"
"7664580","0.9028999999999998"
"7821870","0.9004500000000001"
"7979160","0.8986"
"8136450","0.9026"
"8293740","0.90145"
"8451030","0.91105"
"8608320","0.91555"
"8765610","0.9024"
"8922900","0.91135"
"9069900","0.9127"
"9216900","0.9064"
"9363900","0.91905"
"9510900","0.902"
"9657900","0.9078"
"9804900","0.91735"
"9951900","0.91715"
"10098900","0.90115"
"10245900","0.91085"
"10392900","0.9189"
"10529400","0.9271"
"10665900","0.92465"
"10802400","0.91545"
"10938900","0.9175"
"11075400","0.9161"
"11211900","0.9146"
"11348400","0.7358499999999999"
"11484900","0.7205499999999999"
"11621400","0.7537999999999999"
"11757900","0.78185"
"11883900","0.77425"
"12009900","0.7838499999999999"
"12135900","0.80385"
"12261900","0.80895"
"12387900","0.8371999999999999"
"12513900","0.83775"
"12639900","0.8299500000000001"
"12765900","0.84"
"12891900","0.8365999999999999"
"13017900","0.8517"
"13133190","0.84275"
"13248480","0.83445"
"13363770","0.8414"
"13479060","0.84525"
"13594350","0.8126500000000001"
"13709640","0.80855"
"13824930","0.8093499999999999"
"13940220","0.8238"
"14055510","0.83175"
"14170800","0.82725"
"14275800","0.8216000000000001"
"14380800","0.8242999999999999"
"14485800","0.8428"
"14590800","0.8495999999999999"
"14695800","0.84285"
"14800800","0.8364"
"14905800","0.8324499999999999"
"15010800","0.8606"
"15115800","0.86165"
"15220800","0.8560999999999999"
"15325800","0.8432"
"15430800","0.8118"
"15535800","0.7997000000000001"
"15640800","0.8090499999999999"
"15745800","0.8199"
"15850800","0.8368"
"15955800","0.8036"
"16060800","0.807"
"16165800","0.8323499999999999"
"16270800","0.8218"
"16375800","0.8201"
"16480800","0.8261000000000001"
"16585800","0.8445499999999999"
"16690800","0.84075"
"16795800","0.8401000000000001"
"16900800","0.8308499999999999"
"17005800","0.82725"
"17110800","0.8369500000000001"
"17215800","0.8393499999999999"
"17320800","0.83795"
"17425800","0.8256"
"17530800","0.8258"
"17635800","0.82345"
"17740800","0.8254"
"17845800","0.8094"
"17950800","0.82535"
"18055800","0.80915"
"18160800","0.8152999999999999"
"18265800","0.8274"
"18370800","0.81065"
"18475800","0.8045"
"18580800","0.8151"
"18685800","0.83345"
"18790800","0.808"
"18895800","0.8162999999999999"
"19000800","0.8275"
"19105800","0.849"
"19210800","0.8468499999999999"
"19315800","0.84025"
