"Step","sp_min0.25_seed2 - cover_rate_1step"
"31815000","0.881"
"31920000","0.8705"
"32025000","0.891"
"32130000","0.888"
"32235000","0.8725"
"32340000","0.8625"
"32445000","0.8795"
"32550000","0.8895"
"32655000","0.8845"
"32760000","0.915"
"32865000","0.8675"
"32970000","0.844"
"33075000","0.859"
"33180000","0.854"
"33285000","0.852"
"33390000","0.861"
"33495000","0.8725"
"33600000","0.858"
"33705000","0.868"
"33810000","0.876"
"33915000","0.878"
"34020000","0.907"
"34125000","0.897"
"34230000","0.9225"
"34335000","0.9215"
"34440000","0.91"
"34545000","0.9135"
"34650000","0.908"
"34755000","0.9145"
"34860000","0.9095"
"34965000","0.9135"
"35070000","0.914"
"35175000","0.9005"
"35280000","0.883"
"35385000","0.8995"
"35490000","0.8755"
"35595000","0.8855"
"35700000","0.8905"
"35805000","0.9035"
"35910000","0.9075"
"36015000","0.911"
"36120000","0.9255"
"36225000","0.9375"
"36330000","0.917"
"36435000","0.911"
"36540000","0.912"
"36645000","0.9095"
"36750000","0.899"
"36855000","0.912"
"36960000","0.9175"
"37065000","0.925"
"37170000","0.91"
"37275000","0.9055"
"37380000","0.892"
"37485000","0.9025"
"37590000","0.903"
"37695000","0.9015"
"37800000","0.906"
"37905000","0.9105"
"38010000","0.913"
"38115000","0.908"
"38220000","0.904"
"38325000","0.9405"
"38430000","0.928"
"38535000","0.9175"
"38640000","0.9275"
"38745000","0.9175"
"38850000","0.9225"
"38955000","0.9205"
"39060000","0.91"
"39165000","0.8725"
"39270000","0.885"
"39375000","0.9035"
"39480000","0.889"
"39585000","0.8905"
"39690000","0.9065"
"39795000","0.9085"
"39900000","0.9255"
