"Step","amigo_pb_teacherhorizon10_load_seed1 - 4cover_rate_5step"
"60000","0.3686"
"120000","0.3656"
"180000","0.3672"
"240000","0.3691"
"300000","0.3541"
"360000","0.3623"
"420000","0.3635"
"480000","0.3674"
"540000","0.3503"
"600000","0.358"
"660000","0.348"
"720000","0.3738999999999999"
"780000","0.3632"
"840000","0.3619"
"900000","0.3746"
"960000","0.3614"
"1020000","0.3733999999999999"
"1080000","0.3548"
"1140000","0.3687"
"1200000","0.3768"
"1260000","0.3688"
"1320000","0.3781"
"1380000","0.3878"
"1440000","0.3745"
"1500000","0.3764"
"1560000","0.3672"
"1620000","0.375"
"1680000","0.3813"
"1740000","0.3685"
"1800000","0.3833"
"1860000","0.3736"
"1920000","0.3815"
"1980000","0.3759"
"2040000","0.368"
"2100000","0.361"
"2160000","0.3831"
"2220000","0.3879"
"2280000","0.3835"
"2340000","0.3829"
"2400000","0.3806000000000001"
"2460000","0.3942000000000001"
"2520000","0.3888"
"2580000","0.3713"
"2640000","0.3848"
"2700000","0.387"
"2760000","0.3984"
"2820000","0.3757"
"2880000","0.3763"
"2940000","0.3742"
"3000000","0.3575"
"3060000","0.3759"
"3120000","0.3895"
"3180000","0.3786000000000001"
"3240000","0.3786999999999999"
"3300000","0.3706"
"3360000","0.3793"
"3420000","0.3996"
"3480000","0.3796000000000001"
"3540000","0.3771"
"3600000","0.3821"
"3660000","0.3707"
"3720000","0.3771000000000001"
"3780000","0.3683"
"3840000","0.3832"
"3900000","0.3733999999999999"
"3960000","0.376"
"4020000","0.3675"
"4080000","0.3766000000000001"
"4140000","0.3909"
"4200000","0.3813"
"4260000","0.38759999999999994"
"4320000","0.3703"
"4380000","0.3625"
"4440000","0.3841"
"4500000","0.3896"
"4560000","0.3697"
"4620000","0.3838000000000001"
"4680000","0.3758"
"4740000","0.396"
"4800000","0.3805"
"4860000","0.3891"
"4920000","0.3736"
"4980000","0.3644"
"5040000","0.3878"
"5100000","0.3811000000000001"
"5160000","0.3876"
"5220000","0.379"
"5280000","0.3828"
"5340000","0.3769"
"5400000","0.3859"
"5460000","0.3832"
"5520000","0.382"
"5580000","0.3818"
"5640000","0.375"
"5700000","0.389"
"5760000","0.3764"
"5820000","0.397"
"5880000","0.3802"
"5940000","0.3863"
"6000000","0.3837"
"6060000","0.3727"
"6120000","0.3878"
"6180000","0.3782"
"6240000","0.3796000000000001"
"6300000","0.3801999999999999"
"6360000","0.3827"
"6420000","0.3873"
"6480000","0.3918"
"6540000","0.381"
"6600000","0.3938"
"6660000","0.3888"
"6720000","0.3844"
"6780000","0.3834"
"6840000","0.386"
"6900000","0.3757"
"6960000","0.3699"
"7020000","0.38"
"7080000","0.3916"
"7140000","0.3858"
"7200000","0.3756"
"7260000","0.3753"
"7320000","0.3802"
"7380000","0.3893"
"7440000","0.3911"
"7500000","0.3925999999999999"
"7560000","0.3782"
"7620000","0.3756"
"7680000","0.3864"
"7740000","0.3816000000000001"
"7800000","0.3767"
"7860000","0.3785"
"7920000","0.3842"
"7980000","0.3715"
"8040000","0.3872"
"8100000","0.3853"
"8160000","0.3824"
"8220000","0.3698999999999999"
"8280000","0.376"
"8340000","0.3895"
"8400000","0.392"
"8460000","0.3847"
"8520000","0.3871"
"8580000","0.4033"
"8640000","0.3797"
"8700000","0.3834"
"8760000","0.3827"
"8820000","0.3885"
"8880000","0.3819"
"8940000","0.3759"
"9000000","0.3843"
"9060000","0.3952"
"9120000","0.3854"
"9180000","0.3877"
"9240000","0.3922"
"9300000","0.3906"
"9360000","0.3903"
"9420000","0.40170000000000006"
"9480000","0.3895"
"9540000","0.3698999999999999"
"9600000","0.3941"
"9660000","0.3877"
"9720000","0.39929999999999993"
"9780000","0.3933"
"9840000","0.39"
"9900000","0.407"
"9960000","0.393"
"10020000","0.414"
"10080000","0.40020000000000006"
"10140000","0.4011"
"10200000","0.3929"
"10260000","0.3936"
"10320000","0.3986"
"10380000","0.3965"
"10440000","0.3944"
"10500000","0.3812"
"10560000","0.41"
"10620000","0.3942000000000001"
"10680000","0.3976"
"10740000","0.3864"
"10800000","0.40120000000000006"
"10860000","0.3928"
"10920000","0.3979"
"10980000","0.3811000000000001"
"11040000","0.387"
"11100000","0.3948"
"11160000","0.3999"
"11220000","0.4044"
"11280000","0.3959"
"11340000","0.39429999999999993"
"11400000","0.3975"
"11460000","0.3956"
"11520000","0.3919"
"11580000","0.3866"
"11640000","0.3863"
"11700000","0.3965"
"11760000","0.3918"
"11820000","0.3968"
"11880000","0.40170000000000006"
"11940000","0.3964"
"12000000","0.3987"
"12060000","0.3949"
"12120000","0.3852"
"12180000","0.3742"
"12240000","0.3873"
"12300000","0.4012"
"12360000","0.3937000000000001"
"12420000","0.3978"
"12480000","0.3986"
"12540000","0.4015"
"12600000","0.3871"
"12660000","0.3888"
"12720000","0.4034"
"12780000","0.39429999999999993"
"12840000","0.3837"
"12900000","0.4061"
"12960000","0.3913"
"13020000","0.3944"
"13080000","0.3937000000000001"
"13140000","0.3879"
"13200000","0.3931"
"13260000","0.3989"
"13320000","0.382"
"13380000","0.3791000000000001"
"13440000","0.39929999999999993"
"13500000","0.40329999999999994"
"13560000","0.4026"
"13620000","0.39579999999999993"
"13680000","0.3998"
"13740000","0.3816000000000001"
"13800000","0.3805"
"13860000","0.4026"
"13920000","0.3853"
"13980000","0.4006"
"14040000","0.3955"
"14100000","0.3925"
"14160000","0.39629999999999993"
"14220000","0.39479999999999993"
"14280000","0.3827"
"14340000","0.3968"
"14400000","0.4068"
"14460000","0.3927999999999999"
"14520000","0.3859"
"14580000","0.3811000000000001"
"14640000","0.3937"
"14700000","0.39770000000000005"
"14760000","0.4021"
"14820000","0.3957"
"14880000","0.39629999999999993"
"14940000","0.3972"
"15000000","0.3791000000000001"
"15060000","0.3965"
"15120000","0.39979999999999993"
"15180000","0.393"
"15240000","0.3895"
"15300000","0.3959"
"15360000","0.3941"
"15420000","0.3913"
"15480000","0.3879"
"15540000","0.3992"
"15600000","0.3915"
"15660000","0.4056"
"15720000","0.3865"
"15780000","0.3971"
"15840000","0.3934"
"15900000","0.3881"
