"Step","phase_eval3_pb_seed1 - 4cover_rate"
"180000","0.6553"
"360000","0.6392"
"540000","0.6507000000000001"
"720000","0.6394000000000001"
"900000","0.6666"
"1080000","0.6543"
"1260000","0.6415"
"1440000","0.653"
"1620000","0.6371"
"1800000","0.6518999999999999"
"1980000","0.6219"
"2160000","0.647"
"2340000","0.6257"
"2520000","0.63"
"2700000","0.6492"
"2880000","0.608"
"3060000","0.6312000000000001"
"3240000","0.6285"
"3420000","0.6123"
"3600000","0.6245"
"3780000","0.6284"
"3960000","0.6012"
"4140000","0.6093"
"4320000","0.6292000000000001"
"4500000","0.6081"
"4680000","0.6008"
"4860000","0.5992000000000001"
"5040000","0.5941000000000001"
"5220000","0.6033999999999999"
"5400000","0.5836999999999999"
"5580000","0.5901000000000001"
"5760000","0.602"
"5940000","0.6173"
"6120000","0.6207999999999999"
"6300000","0.5992000000000001"
"6480000","0.6284"
"6660000","0.6313"
"6840000","0.6075999999999999"
"7020000","0.613"
"7200000","0.6076999999999999"
"7380000","0.6127999999999999"
"7560000","0.631"
"7740000","0.6495"
"7920000","0.6253000000000001"
"8100000","0.6367999999999999"
"8280000","0.6098"
"8460000","0.6301"
"8640000","0.6180999999999999"
"8820000","0.6286999999999999"
"9000000","0.6394"
"9180000","0.6307"
"9360000","0.6421"
"9540000","0.6369"
"9720000","0.6484"
"9900000","0.635"
"10080000","0.645"
"10260000","0.6484"
"10440000","0.6554"
"10620000","0.6487999999999999"
"10800000","0.6469"
"10980000","0.6477"
"11160000","0.6353"
"11340000","0.6467999999999999"
"11520000","0.6235"
"11700000","0.629"
"11880000","0.657"
"12060000","0.6396999999999999"
"12240000","0.6149000000000001"
"12420000","0.6335"
"12600000","0.6367"
"12780000","0.6517000000000001"
"12960000","0.6414000000000001"
"13140000","0.6532"
"13320000","0.6628"
"13500000","0.6645"
"13680000","0.673"
"13860000","0.6725"
"14040000","0.6762999999999999"
"14220000","0.6648"
"14400000","0.6563"
"14580000","0.6878"
"14760000","0.6648"
"14940000","0.666"
"15120000","0.6734"
"15300000","0.6632"
"15480000","0.6727000000000001"
"15660000","0.6689"
"15840000","0.6550999999999999"
"16020000","0.6721"
"16200000","0.6573"
"16380000","0.6849000000000001"
"16560000","0.6721"
"16740000","0.6806"
"16920000","0.6981"
"17100000","0.6872"
"17280000","0.6736"
"17460000","0.6846"
"17640000","0.6702"
"17820000","0.6764"
"18000000","0.6765"
"18180000","0.6865"
"18360000","0.6882"
"18540000","0.7015"
"18720000","0.6900999999999999"
"18900000","0.6945"
"19080000","0.6985"
"19260000","0.6959000000000001"
"19440000","0.7005"
"19620000","0.7069"
"19800000","0.6948000000000001"
"19980000","0.6925"
"20160000","0.6962999999999999"
"20340000","0.705"
"20520000","0.709"
"20700000","0.6756"
"20880000","0.6967000000000001"
"21060000","0.6838"
"21240000","0.6878"
"21420000","0.6862999999999999"
"21600000","0.685"
"21780000","0.6987000000000001"
"21960000","0.6968"
"22140000","0.7046999999999999"
"22320000","0.703"
"22500000","0.7062999999999999"
"22680000","0.7099"
"22860000","0.6860999999999999"
"23040000","0.7012999999999999"
"23220000","0.7232999999999999"
"23400000","0.7062"
"23580000","0.7211"
"23760000","0.7247"
"23940000","0.7085"
"24120000","0.7095999999999999"
"24300000","0.7031999999999999"
"24480000","0.72"
"24660000","0.7232000000000001"
"24840000","0.7221000000000001"
"25020000","0.7045"
"25200000","0.7185"
"25380000","0.7161000000000001"
"25560000","0.7033"
"25740000","0.7225999999999999"
"25920000","0.6929"
"26100000","0.6705"
"26280000","0.7139"
"26460000","0.6741"
"26640000","0.6935"
"26820000","0.7056"
"27000000","0.6959"
"27180000","0.6775"
"27360000","0.702"
"27540000","0.6942999999999999"
"27720000","0.7146999999999999"
"27900000","0.7124000000000001"
"28080000","0.7243999999999999"
"28260000","0.7333"
"28440000","0.7147"
"28620000","0.7165"
"28800000","0.7106"
"28980000","0.7188000000000001"
"29160000","0.7104"
"29340000","0.7243999999999999"
"29520000","0.7172000000000001"
"29700000","0.7076"
"29880000","0.7216"
"30060000","0.7156"
"30240000","0.701"
"30420000","0.7009"
"30600000","0.6882"
"30780000","0.7052"
"30960000","0.7175999999999999"
"31140000","0.7032"
"31320000","0.7076"
"31500000","0.7163"
"31680000","0.7055999999999999"
"31860000","0.7121000000000001"
"32040000","0.7118"
"32220000","0.7073"
"32400000","0.71"
"32580000","0.7081000000000001"
"32760000","0.6996"
"32940000","0.7126"
"33120000","0.7143999999999999"
"33300000","0.7195"
"33480000","0.719"
"33660000","0.6967000000000001"
"33840000","0.7096"
"34020000","0.715"
"34200000","0.708"
"34380000","0.7293"
"34560000","0.7072"
"34740000","0.7062"
"34920000","0.7149"
"35100000","0.711"
"35280000","0.713"
"35460000","0.7174"
"35640000","0.718"
"35820000","0.7129"
"36000000","0.7085"
"36180000","0.7121"
"36360000","0.7169000000000001"
"36540000","0.7038000000000001"
"36720000","0.7175"
"36900000","0.7047"
"37080000","0.6965"
"37260000","0.696"
"37440000","0.7095"
"37620000","0.6916"
"37800000","0.7061000000000001"
"37980000","0.7059"
"38160000","0.7081000000000001"
"38340000","0.7071000000000001"
"38520000","0.7092"
"38700000","0.7028"
"38880000","0.7167"
"39060000","0.7298000000000001"
"39240000","0.7141"
"39420000","0.6931"
"39600000","0.7116"
"39780000","0.7135"
"39960000","0.7172999999999999"
"40140000","0.7163999999999999"
"40320000","0.7336"
"40500000","0.7175"
"40680000","0.7253"
"40860000","0.7202000000000001"
"41040000","0.7061"
"41220000","0.7216"
"41400000","0.7067"
"41580000","0.7089000000000001"
"41760000","0.7131"
"41940000","0.7152999999999999"
"42120000","0.6984000000000001"
"42300000","0.7094000000000001"
"42480000","0.6917000000000001"
"42660000","0.7112"
"42840000","0.7125"
"43020000","0.7116999999999999"
"43200000","0.7182000000000001"
"43380000","0.6945"
"43560000","0.7116"
"43740000","0.7015"
"43920000","0.7139000000000001"
"44100000","0.7115"
"44280000","0.7168"
"44460000","0.6994000000000001"
"44640000","0.7129000000000001"
"44820000","0.7135"
"45000000","0.7022999999999999"
"45180000","0.7105"
"45360000","0.7169"
"45540000","0.7135"
"45720000","0.7229"
"45900000","0.7197"
"46080000","0.7021000000000001"
"46260000","0.716"
"46440000","0.7317"
"46620000","0.7101000000000001"
"46800000","0.7189"
"46980000","0.7135"
"47160000","0.7172000000000001"
"47340000","0.7409000000000001"
"47520000","0.7341"
"47700000","0.7171000000000001"
"47880000","0.7326"
"48060000","0.7296"
"48240000","0.7218"
"48420000","0.7571"
"48600000","0.7325"
"48780000","0.7348"
"48960000","0.729"
"49140000","0.7162999999999999"
"49320000","0.7277"
"49500000","0.7155"
"49680000","0.7325"
"49860000","0.6927000000000001"
"50040000","0.7267"
"50220000","0.7203999999999999"
"50400000","0.7197"
"50580000","0.6917000000000001"
"50760000","0.7006"
"50940000","0.6975999999999999"
"51120000","0.6985"
"51300000","0.7212000000000001"
"51480000","0.7216"
"51660000","0.705"
"51840000","0.7202999999999999"
"52020000","0.7137"
"52200000","0.7032"
"52380000","0.7153999999999999"
"52560000","0.732"
"52740000","0.7242"
"52920000","0.7312000000000001"
"53100000","0.7262000000000001"
"53280000","0.7340999999999999"
"53460000","0.7353999999999999"
"53640000","0.7125"
"53820000","0.7329"
"54000000","0.7195"
"54180000","0.7429000000000001"
"54360000","0.7263999999999999"
"54540000","0.7158"
"54720000","0.7119"
"54900000","0.7377"
"55080000","0.7209"
"55260000","0.7269"
"55440000","0.7211000000000001"
"55620000","0.7075999999999999"
"55800000","0.7105999999999999"
"55980000","0.7193"
"56160000","0.7119"
"56340000","0.7119000000000001"
"56520000","0.7137"
"56700000","0.7283"
"56880000","0.7199"
"57060000","0.707"
"57240000","0.7002999999999999"
"57420000","0.7188000000000001"
"57600000","0.7338000000000001"
"57780000","0.7092"
"57960000","0.7209000000000001"
"58140000","0.7248"
"58320000","0.7031000000000001"
"58500000","0.7242999999999999"
"58680000","0.7132999999999999"
"58860000","0.7007000000000001"
"59040000","0.7216000000000001"
"59220000","0.6971"
"59400000","0.699"
"59580000","0.7195999999999999"
"59760000","0.7065"
"59940000","0.7105"
"60120000","0.7205"
"60300000","0.7185999999999999"
"60480000","0.7227"
"60660000","0.7155"
"60840000","0.6988"
"61020000","0.7042999999999999"
"61200000","0.7114"
"61380000","0.7253999999999999"
"61560000","0.6958"
"61740000","0.7233999999999999"
"61920000","0.7135999999999999"
"62100000","0.7057"
"62280000","0.7191"
"62460000","0.7165"
"62640000","0.7205"
"62820000","0.7074"
"63000000","0.7116"
"63180000","0.7322000000000001"
"63360000","0.7323"
"63540000","0.6986"
"63720000","0.7279"
"63900000","0.7223"
"64080000","0.7485999999999999"
"64260000","0.7415"
"64440000","0.7292000000000001"
"64620000","0.7402000000000001"
"64800000","0.729"
"64980000","0.7205"
"65160000","0.7132"
"65340000","0.7275999999999999"
"65520000","0.7119000000000001"
"65700000","0.7068"
"65880000","0.7233999999999999"
"66060000","0.7119"
"66240000","0.7311"
"66420000","0.7061000000000001"
"66600000","0.7082"
"66780000","0.7132000000000001"
"66960000","0.6888"
"67140000","0.7114"
"67320000","0.7117"
"67500000","0.7156"
"67680000","0.7241000000000001"
"67860000","0.7157"
"68040000","0.7157"
"68220000","0.7212000000000001"
"68400000","0.7159000000000001"
"68580000","0.7102"
"68760000","0.706"
"68940000","0.7119000000000001"
"69120000","0.7199"
"69300000","0.6986"
"69480000","0.7175"
"69660000","0.7058"
"69840000","0.7225"
"70020000","0.7084"
"70200000","0.7186"
"70380000","0.7039"
"70560000","0.7259"
"70740000","0.731"
"70920000","0.7268"
"71100000","0.7249"
"71280000","0.7248"
"71460000","0.7212999999999999"
"71640000","0.6952999999999999"
"71820000","0.695"
"72000000","0.7062999999999999"
"72180000","0.7122"
"72360000","0.7069000000000001"
"72540000","0.7235"
"72720000","0.7138"
"72900000","0.7061"
"73080000","0.7035999999999999"
"73260000","0.7152000000000001"
"73440000","0.7162000000000001"
"73620000","0.7213999999999999"
"73800000","0.7167"
"73980000","0.7113"
"74160000","0.716"
"74340000","0.7149"
"74520000","0.7041000000000001"
"74700000","0.723"
"74880000","0.6949"
"75060000","0.7197"
"75240000","0.7099"
"75420000","0.7112"
"75600000","0.7112999999999999"
"75780000","0.7077"
"75960000","0.7052999999999999"
"76140000","0.7107"
"76320000","0.6998"
"76500000","0.7092"
"76680000","0.7059000000000001"
"76860000","0.7067"
"77040000","0.7152000000000001"
"77220000","0.7198"
"77400000","0.7015"
"77580000","0.698"
"77760000","0.6815"
"77940000","0.7012"
"78120000","0.6882"
"78300000","0.6978000000000001"
"78480000","0.7115"
"78660000","0.7099"
"78840000","0.7076"
"79020000","0.7161000000000001"
"79200000","0.7321"
"79380000","0.7228"
"79560000","0.713"
"79740000","0.7127"
