Step,transfer_pb_woclip_onlytrain4_seed1 - 4cover_rate
0,0.5814
180000,0.277
360000,0.2789
540000,0.2774
720000,0.2784
900000,0.2931
1080000,0.2907
1260000,0.3075
1440000,0.2899
1620000,0.2816
1800000,0.2848
1980000,0.2708
2160000,0.2591
2340000,0.2374
2520000,0.255
2700000,0.2512
2880000,0.2591
3060000,0.2691
3240000,0.2783
3420000,0.2769
3600000,0.2751
3780000,0.2737
3960000,0.2674
4140000,0.2558
4320000,0.2475
4500000,0.2541
4680000,0.2618
4860000,0.262
5040000,0.2777
5220000,0.2588
5400000,0.2504
5580000,0.2359
5760000,0.2517
5940000,0.2609
6120000,0.277
6300000,0.2881
6480000,0.3129
6660000,0.3091
6840000,0.3127
7020000,0.3079
7200000,0.3086
7380000,0.3053
7560000,0.2923
7740000,0.309
7920000,0.2844
8100000,0.2964
8280000,0.2858
8460000,0.287
8640000,0.3001
8820000,0.2876
9000000,0.3221
9180000,0.297
9360000,0.2872
9540000,0.2939
9720000,0.3012
9900000,0.2859
10080000,0.2998
10260000,0.2955
10440000,0.3037
10620000,0.3298
10800000,0.3419
10980000,0.3393
11160000,0.3426
11340000,0.3356
11520000,0.3352
11700000,0.3422
11880000,0.3428
12060000,0.348
12240000,0.345
12420000,0.3526
12600000,0.3651
12780000,0.3442
12960000,0.3598
13140000,0.3576
13320000,0.3605
13500000,0.3605
13680000,0.3437
13860000,0.3557
14040000,0.3636
14220000,0.3671
14400000,0.3659
14580000,0.3403
14760000,0.3621
14940000,0.3755
15120000,0.3649
15300000,0.3908
15480000,0.3896
15660000,0.3907
15840000,0.3713
16020000,0.3659
16200000,0.3653
16380000,0.3735
16560000,0.3673
16740000,0.3698
16920000,0.353
17100000,0.3625
17280000,0.3768
17460000,0.3692
17640000,0.368
17820000,0.381
18000000,0.3705
18180000,0.3752
18360000,0.3707
18540000,0.3647
18720000,0.3675
18900000,0.3835
19080000,0.3582
19260000,0.3681
19440000,0.3556
19620000,0.3652
19800000,0.3893
19980000,0.3931
20160000,0.3722
20340000,0.3632
20520000,0.3778
20700000,0.3703
20880000,0.3534
21060000,0.3692
21240000,0.3877
21420000,0.3902
21600000,0.381
21780000,0.3663
21960000,0.3725
22140000,0.3731
22320000,0.3634
22500000,0.3656
22680000,0.3559
22860000,0.3652
23040000,0.3711
23220000,0.3856
23400000,0.3679
23580000,0.363
23760000,0.3744
23940000,0.3825
24120000,0.3724
24300000,0.3834
24480000,0.3997
24660000,0.4076
24840000,0.3923
25020000,0.3935
25200000,0.4023
25380000,0.3945
25560000,0.3965
25740000,0.4084
25920000,0.4368
26100000,0.4203
26280000,0.4321
26460000,0.4165
26640000,0.4105
26820000,0.4046
27000000,0.3958
27180000,0.4072
27360000,0.4155
27540000,0.4108
27720000,0.3945
27900000,0.4191
28080000,0.4021
28260000,0.4061
28440000,0.4168
28620000,0.4171
28800000,0.415
28980000,0.41
29160000,0.4207
29340000,0.4309
29520000,0.4339
29700000,0.4023
29880000,0.4142
30060000,0.4205
30240000,0.4152
30420000,0.4157
30600000,0.4172
30780000,0.408
30960000,0.4382
31140000,0.4179
31320000,0.4218
31500000,0.4236
31680000,0.4048
31860000,0.4165
32040000,0.4108
32220000,0.421
32400000,0.4182
32580000,0.4216
32760000,0.4238
32940000,0.42
33120000,0.4239
33300000,0.4053
33480000,0.4088
33660000,0.4157
33840000,0.4162
34020000,0.4078
34200000,0.4006
34380000,0.4189
34560000,0.4314
34740000,0.4302
34920000,0.4252
35100000,0.4187
35280000,0.4125
35460000,0.4206
35640000,0.418
35820000,0.4387
36000000,0.4246
36180000,0.4293
36360000,0.4303
36540000,0.4278
36720000,0.4305
36900000,0.4291
37080000,0.4399
37260000,0.4344
37440000,0.4324
37620000,0.4506
37800000,0.4384
37980000,0.4378
38160000,0.4375
38340000,0.4404
38520000,0.4399
38700000,0.4291
38880000,0.4442
39060000,0.4367
39240000,0.4338
39420000,0.4207
39600000,0.4311
39780000,0.4336
39960000,0.4482
40140000,0.4194
40320000,0.4128
40500000,0.4375
40680000,0.4276
40860000,0.4306
41040000,0.4155
41220000,0.4469
41400000,0.4266
41580000,0.4083
41760000,0.4191
41940000,0.4116
42120000,0.4102
42300000,0.4167
42480000,0.4154
42660000,0.4187
42840000,0.4128
43020000,0.4146
43200000,0.4021
43380000,0.4172
43560000,0.4091
43740000,0.3936
43920000,0.4177
44100000,0.4021
44280000,0.3927
44460000,0.394
44640000,0.4
44820000,0.4043
45000000,0.3902
45180000,0.4057
45360000,0.4239
45540000,0.4113
45720000,0.4086
45900000,0.4151
46080000,0.4053
46260000,0.4069
46440000,0.4099
46620000,0.4103
46800000,0.4193
46980000,0.4141
47160000,0.4147
47340000,0.4121
47520000,0.4263
47700000,0.4221
47880000,0.4054
48060000,0.4136
48240000,0.4231
48420000,0.4076
48600000,0.4009
48780000,0.4079
48960000,0.3916
49140000,0.4138
49320000,0.4401
49500000,0.429
49680000,0.4313
49860000,0.4306
50040000,0.4474
50220000,0.4412
50400000,0.4396
50580000,0.4246
50760000,0.4266
50940000,0.4238
51120000,0.4233
51300000,0.4304
51480000,0.409
51660000,0.4215
51840000,0.4332
52020000,0.4227
52200000,0.4291
52380000,0.4202
52560000,0.4191
52740000,0.4185
52920000,0.4178
53100000,0.432
53280000,0.4367
53460000,0.4397
53640000,0.4399
53820000,0.4333
54000000,0.4467
54180000,0.4439
54360000,0.4394
54540000,0.4454
54720000,0.4407
54900000,0.4564
55080000,0.4393
55260000,0.451
55440000,0.4575
55620000,0.4805
55800000,0.4522
55980000,0.4578
56160000,0.4524
56340000,0.4415
56520000,0.45
56700000,0.4482
56880000,0.452
57060000,0.4615
57240000,0.4346
57420000,0.4456
57600000,0.4528
57780000,0.4519
57960000,0.4614
58140000,0.45
58320000,0.4509
58500000,0.4638
58680000,0.4549
58860000,0.4493
59040000,0.459
59220000,0.4496
59400000,0.4516
59580000,0.4504
59760000,0.4545
59940000,0.4378
60120000,0.4636
60300000,0.4601
60480000,0.4583
60660000,0.461
60840000,0.4591
61020000,0.4665
61200000,0.4556
61380000,0.4734
61560000,0.4643
61740000,0.4536
61920000,0.4584
62100000,0.4712
62280000,0.4655
62460000,0.4667
62640000,0.4694
62820000,0.4767
63000000,0.4619
63180000,0.4504
63360000,0.4558
63540000,0.4483
63720000,0.4409
63900000,0.4506
64080000,0.4557
64260000,0.4598
64440000,0.4438
64620000,0.4549
64800000,0.4712
64980000,0.4438
65160000,0.4546
65340000,0.4654
65520000,0.4571
65700000,0.4427
65880000,0.4478
66060000,0.4459
66240000,0.4445
66420000,0.4507
66600000,0.4473
66780000,0.4531
66960000,0.4693
67140000,0.4517
67320000,0.4502
67500000,0.4418
67680000,0.4491
67860000,0.4319
68040000,0.4309
68220000,0.4459
68400000,0.4385
68580000,0.4194
68760000,0.4507
68940000,0.4343
69120000,0.444
69300000,0.4362
69480000,0.417
69660000,0.4321
69840000,0.4297
70020000,0.4338
70200000,0.4251
70380000,0.4287
70560000,0.4308
70740000,0.4327
70920000,0.4374
71100000,0.4398
71280000,0.4357
71460000,0.4289
71640000,0.4433
71820000,0.4401
72000000,0.4515
72180000,0.4403
72360000,0.4366
72540000,0.4412
72720000,0.4406
72900000,0.4381
73080000,0.4572
73260000,0.4456
73440000,0.4545
73620000,0.443
73800000,0.4454
73980000,0.4444
74160000,0.4472
74340000,0.4345
74520000,0.4446
74700000,0.4539
74880000,0.4438
75060000,0.4465
75240000,0.4532
75420000,0.4412
75600000,0.4344
75780000,0.4386
75960000,0.4537
76140000,0.4405
76320000,0.4465
76500000,0.4516
76680000,0.4473
76860000,0.4382
77040000,0.4569
77220000,0.449
77400000,0.4391
77580000,0.4369
77760000,0.4438
77940000,0.4302
78120000,0.4374
78300000,0.4207
78480000,0.452
78660000,0.4566
78840000,0.4416
79020000,0.4616
79200000,0.4497
79380000,0.4431
79560000,0.4434
79740000,0.4511
79920000,0.4562
80100000,0.4694
80280000,0.4573
80460000,0.4489
80640000,0.4599
80820000,0.4498
81000000,0.4473
81180000,0.4469
81360000,0.4582
81540000,0.4613
81720000,0.4596
81900000,0.4723
82080000,0.4823
82260000,0.4779
82440000,0.4763
82620000,0.4679
82800000,0.4689
82980000,0.4585
83160000,0.4552
83340000,0.4625
83520000,0.4735
83700000,0.4642
83880000,0.4443
84060000,0.4499
84240000,0.4558
84420000,0.4624
84600000,0.4554
84780000,0.4463
84960000,0.449
85140000,0.4567
85320000,0.463
85500000,0.4512
85680000,0.4445
85860000,0.4434
86040000,0.4483
86220000,0.436
86400000,0.4418
86580000,0.4495
86760000,0.4496
86940000,0.4715
87120000,0.4697
87300000,0.455
87480000,0.4587
87660000,0.4398
87840000,0.4578
88020000,0.4472
88200000,0.4374
88380000,0.4365
88560000,0.4525
88740000,0.4579
88920000,0.431
89100000,0.4452
89280000,0.4423
89460000,0.4468
89640000,0.456
89820000,0.4489
90000000,0.4583
90180000,0.4615
90360000,0.4577
90540000,0.4607
90720000,0.4444
90900000,0.4504
91080000,0.4553
91260000,0.4478
91440000,0.4454
91620000,0.4437
91800000,0.4421
91980000,0.441
92160000,0.4565
92340000,0.4485
92520000,0.4507
92700000,0.4591
92880000,0.4556
93060000,0.4564
93240000,0.4468
93420000,0.4542
93600000,0.4428
93780000,0.4701
93960000,0.4561
94140000,0.4523
94320000,0.4615
94500000,0.4648
94680000,0.4517
94860000,0.4407
95040000,0.4517
95220000,0.4467
95400000,0.4369
95580000,0.4473
95760000,0.4515
95940000,0.4429
96120000,0.4553
96300000,0.4268
96480000,0.4393
96660000,0.4403
96840000,0.4377
97020000,0.4392
97200000,0.4521
97380000,0.4513
97560000,0.4477
97740000,0.4471
97920000,0.4522
98100000,0.4425
98280000,0.4466
