"Step","mix4n8_pb_seed2 - 4cover_rate"
"196560000","0.7025"
"196920000","0.682"
"197280000","0.6975"
"197640000","0.685"
"198000000","0.713"
"198360000","0.709"
"198720000","0.6895"
"199080000","0.7095"
"199440000","0.7115"
"199800000","0.6895"
"200160000","0.6885"
"200520000","0.6955"
"200880000","0.6945"
"201240000","0.718"
"201600000","0.712"
"201960000","0.6995"
"202320000","0.71"
"202680000","0.689"
"203040000","0.6635"
"203400000","0.676"
"203760000","0.6605"
"204120000","0.6605"
"204480000","0.66"
"204840000","0.665"
"205200000","0.6685"
"205560000","0.6585"
"205920000","0.6735"
"206280000","0.654"
"206640000","0.666"
"207000000","0.6755"
"207360000","0.689"
"207720000","0.704"
"208080000","0.71"
"208440000","0.6975"
"208800000","0.6795"
"209160000","0.7075"
"209520000","0.6865"
"209880000","0.704"
"210240000","0.71"
"210600000","0.71"
"210960000","0.684"
"211320000","0.6795"
"211680000","0.6985"
"212040000","0.6855"
"212400000","0.696"
"212760000","0.6875"
"213120000","0.6955"
"213480000","0.6875"
"213840000","0.6935"
"214200000","0.691"
"214560000","0.708"
"214920000","0.6835"
"215280000","0.6945"
"215640000","0.696"
"216000000","0.702"
"216360000","0.7145"
"216720000","0.7105"
"217080000","0.7115"
"217440000","0.7135"
"217800000","0.7075"
"218160000","0.7005"
"218520000","0.698"
"218880000","0.6885"
"219240000","0.7"
"219600000","0.6995"
"219960000","0.702"
"220320000","0.7105"
"220680000","0.698"
"221040000","0.719"
"221400000","0.711"
"221760000","0.6955"
"222120000","0.706"
"222480000","0.727"
"222840000","0.7265"
"223200000","0.7215"
"223560000","0.7205"
"223920000","0.724"
"224280000","0.711"
"224640000","0.719"
"225000000","0.725"
"225360000","0.7255"
"225720000","0.724"
"226080000","0.728"
"226440000","0.7025"
"226800000","0.718"
"227160000","0.7215"
"227520000","0.727"
"227880000","0.718"
"228240000","0.7205"
"228600000","0.7235"
"228960000","0.721"
"229320000","0.718"
"229680000","0.72"
"230040000","0.7235"
"230400000","0.727"
"230760000","0.721"
"231120000","0.704"
"231480000","0.7215"
"231840000","0.7025"
"232200000","0.7"
"232560000","0.709"
"232920000","0.7"
"233280000","0.707"
"233640000","0.712"
"234000000","0.709"
"234360000","0.7105"
"234720000","0.7135"
"235080000","0.728"
"235440000","0.7245"
"235800000","0.731"
"236160000","0.7255"
"236520000","0.7385"
"236880000","0.7245"
"237240000","0.74"
"237600000","0.723"
"237960000","0.724"
"238320000","0.73"
"238680000","0.75"
"239040000","0.751"
"239400000","0.7305"
"239760000","0.7465"
"240120000","0.7425"
"240480000","0.7475"
"240840000","0.745"
"241200000","0.729"
"241560000","0.7385"
"241920000","0.729"
"242280000","0.715"
"242640000","0.7335"
"243000000","0.702"
"243360000","0.733"
"243720000","0.7265"
"244080000","0.73"
"244440000","0.7155"
"244800000","0.726"
"245160000","0.719"
"245520000","0.731"
"245880000","0.727"
"246240000","0.733"
"246600000","0.7385"
"246960000","0.7335"
"247320000","0.7215"
"247680000","0.7415"
"248040000","0.7435"
"248400000","0.7485"
"248760000","0.748"
"249120000","0.7485"
"249480000","0.731"
"249840000","0.727"
"250200000","0.7255"
"250560000","0.7395"
"250920000","0.718"
"251280000","0.7355"
"251640000","0.724"
"252000000","0.731"
"252360000","0.726"
"252720000","0.749"
"253080000","0.7455"
"253440000","0.735"
"253800000","0.741"
"254160000","0.7325"
"254520000","0.7395"
"254880000","0.759"
"255240000","0.7555"
"255600000","0.7365"
"255960000","0.7345"
"256320000","0.7445"
"256680000","0.747"
"257040000","0.7425"
"257400000","0.7385"
"257760000","0.7355"
"258120000","0.736"
"258480000","0.7365"
"258840000","0.755"
"259200000","0.759"
"259560000","0.748"
"259920000","0.735"
"260280000","0.7625"
"260640000","0.7435"
"261000000","0.74"
"261360000","0.7415"
"261720000","0.7495"
"262080000","0.746"
"262440000","0.756"
"262800000","0.751"
"263160000","0.7655"
"263520000","0.7385"
"263880000","0.744"
"264240000","0.755"
"264600000","0.754"
"264960000","0.753"
"265320000","0.7685"
"265680000","0.7595"
"266040000","0.7635"
"266400000","0.763"
"266760000","0.7725"
"267120000","0.758"
"267480000","0.764"
"267840000","0.7725"
"268200000","0.762"
"268560000","0.7745"
"268920000","0.774"
"269280000","0.7655"
"269640000","0.767"
"270000000","0.76"
"270360000","0.7375"
"270720000","0.75"
"271080000","0.77"
"271440000","0.7525"
"271800000","0.763"
"272160000","0.758"
"272520000","0.755"
"272880000","0.765"
"273240000","0.7565"
"273600000","0.7585"
"273960000","0.763"
"274320000","0.751"
"274680000","0.7755"
"275040000","0.766"
"275400000","0.767"
"275760000","0.7475"
