"Step","pb_wo_evaluation_expandfromactive_seed2 - 2cover_rate_5step"
"41400000","0.8802000000000001"
"41580000","0.8855999999999999"
"41760000","0.8774"
"41940000","0.8947999999999999"
"42120000","0.8744000000000001"
"42300000","0.8897999999999999"
"42480000","0.8872000000000001"
"42660000","0.8846"
"42840000","0.8916"
"43020000","0.9168"
"43200000","0.893"
"43380000","0.9044"
"43560000","0.8947999999999999"
"43740000","0.8956"
"43920000","0.903"
"44100000","0.9002"
"44280000","0.9078"
"44460000","0.9112"
"44640000","0.921"
"44820000","0.9078"
"45000000","0.9038"
"45180000","0.89"
"45360000","0.913"
"45540000","0.9012"
"45720000","0.9158"
"45900000","0.9002"
"46080000","0.903"
"46260000","0.8984000000000001"
"46440000","0.8957999999999999"
"46620000","0.9056"
"46800000","0.9064"
"46980000","0.911"
"47160000","0.9132"
"47340000","0.9076"
"47520000","0.8964000000000001"
"47700000","0.9064"
"47880000","0.9242"
"48060000","0.9092"
"48240000","0.9192"
"48420000","0.8888"
"48600000","0.9086"
"48780000","0.9158"
"48960000","0.9116"
"49140000","0.9142"
"49320000","0.9112"
"49500000","0.9124"
"49680000","0.9094"
"49860000","0.9164"
"50040000","0.9312"
"50220000","0.915"
"50400000","0.9206"
"50580000","0.8897999999999999"
"50760000","0.878"
"50940000","0.9188"
"51120000","0.9138"
"51300000","0.902"
"51480000","0.9004000000000001"
"51660000","0.9158"
"51840000","0.9132"
"52020000","0.9038"
"52200000","0.9144"
"52380000","0.902"
"52560000","0.9112"
"52740000","0.9202"
"52920000","0.923"
"53100000","0.9166"
"53280000","0.9072"
"53460000","0.9136"
"53640000","0.9178"
"53820000","0.9072"
"54000000","0.9118"
"54180000","0.913"
"54360000","0.9168"
"54540000","0.9276"
"54720000","0.9408"
"54900000","0.9178"
"55080000","0.9188"
"55260000","0.9282"
"55440000","0.9268"
"55620000","0.921"
"55800000","0.9172"
"55980000","0.9198"
"56160000","0.9188"
"56340000","0.9208"
"56520000","0.9178"
"56700000","0.9346"
"56880000","0.932"
"57060000","0.9352"
"57240000","0.9294"
"57420000","0.9398"
"57600000","0.9206"
"57780000","0.916"
"57960000","0.9252"
"58140000","0.922"
"58320000","0.9356"
"58500000","0.93"
"58680000","0.9284"
"58860000","0.9286"
"59040000","0.9308"
"59220000","0.9254"
"59400000","0.9164"
"59580000","0.9204"
"59760000","0.929"
"59940000","0.9338"
"60120000","0.9266"
"60300000","0.9206"
"60480000","0.9326"
"60660000","0.8966000000000001"
"60840000","0.9016"
"61020000","0.9046"
"61200000","0.9186"
"61380000","0.9064"
"61560000","0.9272"
"61740000","0.9196"
"61920000","0.9116"
"62100000","0.9192"
"62280000","0.9154"
"62460000","0.9346"
"62640000","0.9266"
"62820000","0.9168"
"63000000","0.9258"
"63180000","0.9346"
"63360000","0.9224"
"63540000","0.9276"
"63720000","0.9356"
"63900000","0.9196"
"64080000","0.9208"
"64260000","0.9328"
"64440000","0.9268"
"64620000","0.9192"
"64800000","0.929"
"64980000","0.939"
"65160000","0.92"
"65340000","0.939"
"65520000","0.931"
"65700000","0.924"
"65880000","0.9256"
"66060000","0.9196"
"66240000","0.924"
"66420000","0.934"
"66600000","0.9176"
"66780000","0.9254"
"66960000","0.941"
"67140000","0.9394"
"67320000","0.9352"
"67500000","0.931"
"67680000","0.9384"
"67860000","0.918"
"68040000","0.9294"
"68220000","0.9328"
"68400000","0.9096"
"68580000","0.9402"
"68760000","0.9288"
"68940000","0.946"
"69120000","0.9282"
"69300000","0.9236"
"69480000","0.9376"
"69660000","0.9394"
"69840000","0.9306"
"70020000","0.9496"
"70200000","0.938"
"70380000","0.9302"
"70560000","0.9386"
"70740000","0.9314"
"70920000","0.9268"
"71100000","0.9324"
"71280000","0.944"
"71460000","0.9446"
"71640000","0.9358"
"71820000","0.9498"
"72000000","0.9352"
"72180000","0.9328"
"72360000","0.939"
"72540000","0.9278"
"72720000","0.94"
"72900000","0.9312"
"73080000","0.9506"
"73260000","0.945"
"73440000","0.9306"
"73620000","0.952"
"73800000","0.9516"
"73980000","0.9448"
"74160000","0.936"
"74340000","0.9316"
"74520000","0.9286"
"74700000","0.9452"
"74880000","0.943"
"75060000","0.9356"
"75240000","0.9256"
"75420000","0.9366"
"75600000","0.9412"
"75780000","0.9326"
"75960000","0.9334"
"76140000","0.946"
"76320000","0.9256"
"76500000","0.9302"
"76680000","0.939"
"76860000","0.9416"
"77040000","0.933"
"77220000","0.9432"
"77400000","0.9432"
"77580000","0.9378"
"77760000","0.9462"
"77940000","0.9374"
"78120000","0.9568"
"78300000","0.9436"
"78480000","0.9394"
"78660000","0.9452"
"78840000","0.948"
"79020000","0.9412"
"79200000","0.944"
"79380000","0.9244"
"79560000","0.9494"
"79740000","0.9332"
"79920000","0.936"
