"Step","sp_active_expansion_seed3 - cover_rate_1step"
"31815000","0.687"
"31920000","0.691"
"32025000","0.6825"
"32130000","0.7045"
"32235000","0.689"
"32340000","0.7065"
"32445000","0.6725"
"32550000","0.6875"
"32655000","0.7045"
"32760000","0.6645"
"32865000","0.722"
"32970000","0.689"
"33075000","0.6975"
"33180000","0.7005"
"33285000","0.686"
"33390000","0.6985"
"33495000","0.709"
"33600000","0.714"
"33705000","0.7275"
"33810000","0.729"
"33915000","0.718"
"34020000","0.707"
"34125000","0.6935"
"34230000","0.7035"
"34335000","0.716"
"34440000","0.715"
"34545000","0.713"
"34650000","0.7095"
"34755000","0.71"
"34860000","0.7345"
"34965000","0.7335"
"35070000","0.721"
"35175000","0.748"
"35280000","0.7055"
"35385000","0.7295"
"35490000","0.738"
"35595000","0.739"
"35700000","0.719"
"35805000","0.7285"
"35910000","0.7115"
"36015000","0.7175"
"36120000","0.724"
"36225000","0.7145"
"36330000","0.7445"
"36435000","0.7605"
"36540000","0.738"
"36645000","0.7235"
"36750000","0.735"
"36855000","0.7305"
"36960000","0.743"
"37065000","0.729"
"37170000","0.7295"
"37275000","0.74"
"37380000","0.7245"
"37485000","0.7185"
"37590000","0.7425"
"37695000","0.7215"
"37800000","0.7455"
"37905000","0.7535"
"38010000","0.761"
"38115000","0.7615"
"38220000","0.738"
"38325000","0.7385"
"38430000","0.716"
"38535000","0.734"
"38640000","0.746"
"38745000","0.7645"
"38850000","0.771"
"38955000","0.7505"
"39060000","0.753"
"39165000","0.737"
"39270000","0.7575"
"39375000","0.742"
"39480000","0.748"
"39585000","0.7575"
"39690000","0.743"
"39795000","0.7575"
"39900000","0.727"
