"Step","amigo_pb_addinitialtasks_seed3 - 2cover_rate_5step"
"60000","0.033"
"120000","0.035"
"180000","0.027"
"240000","0.023"
"300000","0.037"
"360000","0.037"
"420000","0.04"
"480000","0.031"
"540000","0.036"
"600000","0.019"
"660000","0.026"
"720000","0.037"
"780000","0.024"
"840000","0.031"
"900000","0.033"
"960000","0.032"
"1020000","0.036"
"1080000","0.03"
"1140000","0.031"
"1200000","0.028"
"1260000","0.029"
"1320000","0.031"
"1380000","0.037"
"1440000","0.036"
"1500000","0.031"
"1560000","0.026"
"1620000","0.039"
"1680000","0.035"
"1740000","0.03"
"1800000","0.033"
"1860000","0.031"
"1920000","0.024"
"1980000","0.025"
"2040000","0.032"
"2100000","0.029"
"2160000","0.027"
"2220000","0.039"
"2280000","0.032"
"2340000","0.036"
"2400000","0.033"
"2460000","0.027"
"2520000","0.024"
"2580000","0.036"
"2640000","0.026"
"2700000","0.028"
"2760000","0.028"
"2820000","0.041"
"2880000","0.038"
"2940000","0.027399999999999997"
"3000000","0.037"
"3060000","0.025"
"3120000","0.029"
"3180000","0.024"
"3240000","0.035"
"3300000","0.037"
"3360000","0.028"
"3420000","0.035"
"3480000","0.038"
"3540000","0.052"
"3600000","0.04"
"3660000","0.044"
"3720000","0.035"
"3780000","0.028"
"3840000","0.036"
"3900000","0.037"
"3960000","0.037"
"4020000","0.034"
"4080000","0.039"
"4140000","0.032"
"4200000","0.027"
"4260000","0.034"
"4320000","0.026"
"4380000","0.039"
"4440000","0.033"
"4500000","0.034"
"4560000","0.036"
"4620000","0.041"
"4680000","0.027"
"4740000","0.027"
"4800000","0.031"
"4860000","0.027"
"4920000","0.031"
"4980000","0.038"
"5040000","0.04"
"5100000","0.043"
"5160000","0.04"
"5220000","0.028"
"5280000","0.026"
"5340000","0.029"
"5400000","0.03"
"5460000","0.031"
"5520000","0.037"
"5580000","0.028"
"5640000","0.03"
"5700000","0.022"
"5760000","0.032"
"5820000","0.034"
"5880000","0.025"
"5940000","0.031"
"6000000","0.029"
"6060000","0.039"
"6120000","0.032"
"6180000","0.033"
"6240000","0.035"
"6300000","0.026"
"6360000","0.031"
"6420000","0.03"
"6480000","0.031"
"6540000","0.042"
"6600000","0.037"
"6660000","0.042"
"6720000","0.027"
"6780000","0.041"
"6840000","0.024"
"6900000","0.036"
"6960000","0.032"
"7020000","0.024"
"7080000","0.032"
"7140000","0.036"
"7200000","0.035"
"7260000","0.034"
"7320000","0.034"
"7380000","0.026"
"7440000","0.035"
"7500000","0.031"
"7560000","0.039"
"7620000","0.028"
"7680000","0.039"
"7740000","0.033"
"7800000","0.031"
"7860000","0.04"
"7920000","0.036"
"7980000","0.044"
"8040000","0.043"
"8100000","0.044"
"8160000","0.051"
"8220000","0.03"
"8280000","0.037"
"8340000","0.039"
"8400000","0.045"
"8460000","0.04"
"8520000","0.033"
"8580000","0.038"
"8640000","0.045"
"8700000","0.0318"
"8760000","0.03"
"8820000","0.041"
"8880000","0.036"
"8940000","0.046799999999999994"
"9000000","0.043"
"9060000","0.051"
"9120000","0.05"
"9180000","0.037"
"9240000","0.057"
"9300000","0.054"
"9360000","0.053"
"9420000","0.036"
"9480000","0.0498"
"9540000","0.049"
"9600000","0.044"
"9660000","0.049"
"9720000","0.044"
"9780000","0.0536"
"9840000","0.047"
"9900000","0.04"
"9960000","0.048"
"10020000","0.043"
"10080000","0.053"
"10140000","0.055"
"10200000","0.04"
"10260000","0.052"
"10320000","0.047"
"10380000","0.0456"
"10440000","0.048"
"10500000","0.061799999999999994"
"10560000","0.054"
"10620000","0.059"
"10680000","0.052"
"10740000","0.054"
"10800000","0.055"
"10860000","0.0484"
"10920000","0.0516"
"10980000","0.042"
"11040000","0.0464"
"11100000","0.054"
"11160000","0.0502"
"11220000","0.068"
"11280000","0.0694"
"11340000","0.068"
"11400000","0.051"
"11460000","0.0454"
"11520000","0.0518"
"11580000","0.049"
"11640000","0.054"
"11700000","0.0588"
"11760000","0.0674"
"11820000","0.0612"
"11880000","0.058800000000000005"
"11940000","0.055"
"12000000","0.0756"
"12060000","0.0696"
"12120000","0.065"
"12180000","0.066"
"12240000","0.0694"
"12300000","0.0564"
"12360000","0.066"
"12420000","0.0494"
"12480000","0.08"
"12540000","0.085"
"12600000","0.0716"
"12660000","0.072"
"12720000","0.072"
"12780000","0.078"
"12840000","0.073"
"12900000","0.08020000000000001"
"12960000","0.0742"
"13020000","0.0686"
"13080000","0.0752"
"13140000","0.084"
"13200000","0.08940000000000001"
"13260000","0.0828"
"13320000","0.09919999999999998"
"13380000","0.08"
"13440000","0.0944"
"13500000","0.093"
"13560000","0.0808"
"13620000","0.086"
"13680000","0.0922"
"13740000","0.122"
"13800000","0.098"
"13860000","0.1146"
"13920000","0.0952"
"13980000","0.0992"
"14040000","0.0914"
"14100000","0.1074"
"14160000","0.1036"
"14220000","0.0952"
"14280000","0.096"
"14340000","0.1082"
"14400000","0.1192"
"14460000","0.1"
"14520000","0.1068"
"14580000","0.1092"
"14640000","0.1354"
"14700000","0.1104"
"14760000","0.101"
"14820000","0.117"
"14880000","0.123"
"14940000","0.1166"
"15000000","0.1236"
"15060000","0.1038"
"15120000","0.13760000000000003"
"15180000","0.1232"
"15240000","0.137"
"15300000","0.1442"
"15360000","0.1358"
"15420000","0.15039999999999998"
"15480000","0.1404"
"15540000","0.1616"
"15600000","0.15519999999999998"
"15660000","0.1504"
"15720000","0.13"
"15780000","0.1566"
"15840000","0.1732"
"15900000","0.1432"
"15960000","0.1658"
"16020000","0.157"
"16080000","0.1744"
"16140000","0.1922"
"16200000","0.1566"
"16260000","0.15319999999999998"
"16320000","0.17679999999999998"
"16380000","0.1732"
"16440000","0.1792"
"16500000","0.1878"
"16560000","0.1728"
"16620000","0.17859999999999998"
"16680000","0.1868"
"16740000","0.2004"
"16800000","0.189"
"16860000","0.1856"
"16920000","0.1862"
"16980000","0.1952"
"17040000","0.2146"
"17100000","0.1852"
"17160000","0.1896"
"17220000","0.2214"
"17280000","0.2174"
"17340000","0.19639999999999996"
"17400000","0.20639999999999997"
"17460000","0.2108"
"17520000","0.248"
"17580000","0.2128"
"17640000","0.2274"
"17700000","0.2288"
"17760000","0.2108"
"17820000","0.22779999999999995"
"17880000","0.23139999999999997"
"17940000","0.21"
"18000000","0.2312"
"18060000","0.24"
"18120000","0.233"
"18180000","0.23939999999999995"
"18240000","0.242"
"18300000","0.2418"
"18360000","0.2464"
"18420000","0.26"
"18480000","0.258"
"18540000","0.2392"
"18600000","0.2596"
"18660000","0.239"
"18720000","0.2526"
"18780000","0.276"
"18840000","0.2462"
"18900000","0.23939999999999995"
"18960000","0.27020000000000005"
"19020000","0.285"
"19080000","0.2676"
"19140000","0.2812"
"19200000","0.264"
"19260000","0.2568"
"19320000","0.2806"
"19380000","0.29819999999999997"
"19440000","0.29779999999999995"
"19500000","0.2968"
"19560000","0.28279999999999994"
"19620000","0.3224"
"19680000","0.307"
"19740000","0.2744"
"19800000","0.29320000000000007"
"19860000","0.3054"
"19920000","0.3002"
"19980000","0.29940000000000005"
"20040000","0.30119999999999997"
"20100000","0.29540000000000005"
"20160000","0.31439999999999996"
"20220000","0.32880000000000004"
"20280000","0.323"
"20340000","0.33779999999999993"
"20400000","0.31739999999999996"
"20460000","0.3408"
"20520000","0.3314"
"20580000","0.302"
"20640000","0.3426"
"20700000","0.33720000000000006"
"20760000","0.33440000000000003"
"20820000","0.32939999999999997"
"20880000","0.34779999999999994"
"20940000","0.34559999999999996"
"21000000","0.3356"
"21060000","0.3456"
"21120000","0.3454"
"21180000","0.33080000000000004"
"21240000","0.3434"
"21300000","0.3266"
"21360000","0.3312"
"21420000","0.3528"
"21480000","0.3388"
"21540000","0.3584"
"21600000","0.377"
"21660000","0.3358"
"21720000","0.3608"
"21780000","0.338"
"21840000","0.36"
"21900000","0.3598"
"21960000","0.3678"
"22020000","0.3434"
"22080000","0.3636"
"22140000","0.3632"
"22200000","0.3716"
"22260000","0.3848"
"22320000","0.386"
"22380000","0.3708"
"22440000","0.3732"
"22500000","0.353"
"22560000","0.3606"
"22620000","0.35879999999999995"
"22680000","0.379"
"22740000","0.3638"
"22800000","0.3656"
"22860000","0.3886"
"22920000","0.3896"
"22980000","0.3466"
"23040000","0.3712"
"23100000","0.3886"
"23160000","0.3818"
"23220000","0.3574"
"23280000","0.4014"
"23340000","0.3748"
"23400000","0.3864"
"23460000","0.40220000000000006"
"23520000","0.3984"
"23580000","0.402"
"23640000","0.39679999999999993"
"23700000","0.3932"
"23760000","0.4026"
"23820000","0.3816000000000001"
"23880000","0.4146"
"23940000","0.41079999999999994"
"24000000","0.399"
"24060000","0.41279999999999994"
"24120000","0.4072"
"24180000","0.38259999999999994"
"24240000","0.41479999999999995"
"24300000","0.4178"
"24360000","0.4214"
"24420000","0.4246"
"24480000","0.4168"
"24540000","0.403"
"24600000","0.4204"
"24660000","0.432"
"24720000","0.4138"
"24780000","0.432"
"24840000","0.4162"
"24900000","0.4154"
"24960000","0.4323999999999999"
"25020000","0.4246"
"25080000","0.4396000000000001"
"25140000","0.4353999999999999"
"25200000","0.4192"
"25260000","0.4082"
"25320000","0.4333999999999999"
"25380000","0.4246"
"25440000","0.449"
"25500000","0.4064"
"25560000","0.4572000000000001"
"25620000","0.414"
