Step,decay_fre30iter_add0.1_load_optimizer_wogradclip_seed2 - 8cover_rate
0,0.9221
199290,0.86245
398580,0.87715
597870,0.8655
797160,0.8644
996450,0.8752
1195740,0.86865
1395030,0.86825
1594320,0.8627
1793610,0.8832
1992900,0.89045
2181900,0.891
2370900,0.8861
2559900,0.89555
2748900,0.90165
2937900,0.9024
3126900,0.90805
3315900,0.90945
3504900,0.9145
3693900,0.9129
3882900,0.9134
4061610,0.9178
4240320,0.91735
4419030,0.9125
4597740,0.9033
4776450,0.9145
4955160,0.9107
5133870,0.90625
5312580,0.9098
5491290,0.9104
5670000,0.8994
5838000,0.89775
6006000,0.91845
6174000,0.9166
6342000,0.9139
6510000,0.91715
6678000,0.907
6846000,0.91005
7014000,0.92265
7182000,0.9252
7350000,0.90405
7507290,0.9075
7664580,0.8996
7821870,0.9008
7979160,0.90225
8136450,0.90805
8293740,0.916
8451030,0.91235
8608320,0.92535
8765610,0.92445
8922900,0.9284
9069900,0.92695
9216900,0.9344
9363900,0.93445
9510900,0.92545
9657900,0.9202
9804900,0.9253
9951900,0.9221
10098900,0.92225
10245900,0.92385
10392900,0.93295
10529400,0.92565
10665900,0.92615
10802400,0.92385
10938900,0.91535
11075400,0.9225
11211900,0.92095
11348400,0.9239
11484900,0.9289
11621400,0.9326
11757900,0.9337
11883900,0.9319
12009900,0.9381
12135900,0.9277
12261900,0.93035
12387900,0.9289
12513900,0.92515
12639900,0.9311
12765900,0.93855
12891900,0.93955
13017900,0.93965
13133190,0.9457
13248480,0.93865
13363770,0.9416
13479060,0.93945
13594350,0.9449
13709640,0.9422
13824930,0.93405
13940220,0.93375
14055510,0.9365
14170800,0.9333
14275800,0.93505
14380800,0.9303
14485800,0.9225
14590800,0.92745
14695800,0.92045
14800800,0.9222
14905800,0.93255
15010800,0.92755
15115800,0.91625
15220800,0.9117
15325800,0.92435
15430800,0.9096
15535800,0.91095
15640800,0.9235
15745800,0.91415
15850800,0.9168
15955800,0.92025
16060800,0.92615
16165800,0.93015
16270800,0.9232
16375800,0.928
16480800,0.9304
16585800,0.9284
16690800,0.93025
16795800,0.92815
16900800,0.93035
17005800,0.9292
17110800,0.93425
17215800,0.93475
17320800,0.9358
17425800,0.9357
17530800,0.9425
17635800,0.93265
17740800,0.9372
