"Step","amigo_pb_teacherhorizon10_seed1 - 4cover_rate_5step"
"17280000","0.1237"
"17340000","0.1259"
"17400000","0.1073"
"17460000","0.1134"
"17520000","0.1163"
"17580000","0.1314"
"17640000","0.1062"
"17700000","0.1124"
"17760000","0.12769999999999998"
"17820000","0.1191"
"17880000","0.1345"
"17940000","0.115"
"18000000","0.1166"
"18060000","0.1221"
"18120000","0.119"
"18180000","0.1259"
"18240000","0.13069999999999998"
"18300000","0.1254"
"18360000","0.12510000000000002"
"18420000","0.1189"
"18480000","0.1246"
"18540000","0.1207"
"18600000","0.1234"
"18660000","0.11880000000000002"
"18720000","0.1367"
"18780000","0.12819999999999998"
"18840000","0.1202"
"18900000","0.1274"
"18960000","0.12079999999999998"
"19020000","0.13329999999999995"
"19080000","0.1234"
"19140000","0.134"
"19200000","0.12779999999999997"
"19260000","0.1316"
"19320000","0.1386"
"19380000","0.1253"
"19440000","0.1266"
"19500000","0.1324"
"19560000","0.1451"
"19620000","0.1298"
"19680000","0.1243"
"19740000","0.1196"
"19800000","0.1432"
"19860000","0.13190000000000002"
"19920000","0.12869999999999998"
"19980000","0.12869999999999998"
"20040000","0.12769999999999998"
"20100000","0.1245"
"20160000","0.13610000000000003"
"20220000","0.13019999999999998"
"20280000","0.14139999999999997"
"20340000","0.1168"
"20400000","0.1364"
"20460000","0.1291"
"20520000","0.1284"
"20580000","0.13560000000000005"
"20640000","0.14189999999999997"
"20700000","0.12819999999999998"
"20760000","0.134"
"20820000","0.13060000000000002"
"20880000","0.1335"
"20940000","0.1347"
"21000000","0.14689999999999998"
"21060000","0.1405"
"21120000","0.1505"
"21180000","0.15239999999999998"
"21240000","0.12760000000000002"
"21300000","0.1343"
"21360000","0.13789999999999997"
"21420000","0.1305"
"21480000","0.1403"
"21540000","0.1491"
"21600000","0.1349"
"21660000","0.1427"
"21720000","0.1427"
"21780000","0.13340000000000002"
"21840000","0.13489999999999996"
"21900000","0.15469999999999998"
"21960000","0.1405"
"22020000","0.15930000000000002"
"22080000","0.1368"
"22140000","0.13160000000000002"
"22200000","0.13390000000000002"
"22260000","0.1479"
"22320000","0.1555"
"22380000","0.1485"
"22440000","0.1473"
"22500000","0.1337"
"22560000","0.1425"
"22620000","0.145"
"22680000","0.14889999999999998"
"22740000","0.15159999999999998"
"22800000","0.13740000000000002"
"22860000","0.13839999999999997"
"22920000","0.144"
"22980000","0.1422"
"23040000","0.144"
"23100000","0.1509"
"23160000","0.14460000000000003"
"23220000","0.1536"
"23280000","0.1412"
"23340000","0.14789999999999998"
"23400000","0.1469"
"23460000","0.1482"
"23520000","0.1408"
"23580000","0.1512"
"23640000","0.1621"
"23700000","0.1628"
"23760000","0.1407"
"23820000","0.1401"
"23880000","0.1442"
"23940000","0.1569"
"24000000","0.1517"
"24060000","0.1427"
"24120000","0.14"
"24180000","0.143"
"24240000","0.155"
"24300000","0.1647"
"24360000","0.1465"
"24420000","0.15780000000000002"
"24480000","0.15969999999999998"
"24540000","0.16"
"24600000","0.1606"
"24660000","0.1576"
"24720000","0.1637"
"24780000","0.1544"
"24840000","0.16169999999999998"
"24900000","0.1651"
"24960000","0.15480000000000002"
"25020000","0.15020000000000003"
"25080000","0.1708"
"25140000","0.1626"
"25200000","0.1591"
"25260000","0.1549"
"25320000","0.15569999999999998"
"25380000","0.16269999999999998"
"25440000","0.1616"
"25500000","0.1604"
"25560000","0.1608"
"25620000","0.15680000000000002"
"25680000","0.1449"
"25740000","0.14859999999999998"
"25800000","0.14759999999999998"
"25860000","0.15769999999999998"
"25920000","0.1485"
"25980000","0.16169999999999998"
"26040000","0.16019999999999998"
"26100000","0.17710000000000004"
"26160000","0.16"
"26220000","0.15580000000000002"
"26280000","0.1585"
"26340000","0.1625"
"26400000","0.16190000000000002"
"26460000","0.16490000000000002"
"26520000","0.161"
"26580000","0.1646"
"26640000","0.17010000000000003"
"26700000","0.1728"
"26760000","0.16770000000000002"
"26820000","0.159"
"26880000","0.1719"
"26940000","0.1665"
"27000000","0.16119999999999998"
"27060000","0.16870000000000002"
"27120000","0.1655"
"27180000","0.15830000000000002"
"27240000","0.1699"
"27300000","0.17789999999999995"
"27360000","0.1702"
"27420000","0.1732"
"27480000","0.1663"
"27540000","0.1595"
"27600000","0.1798"
"27660000","0.1753"
"27720000","0.1693"
"27780000","0.1803"
"27840000","0.1724"
"27900000","0.1741"
"27960000","0.1828"
"28020000","0.1829"
"28080000","0.178"
"28140000","0.1851"
"28200000","0.17980000000000002"
"28260000","0.1773"
"28320000","0.164"
"28380000","0.1884"
"28440000","0.1839"
"28500000","0.177"
"28560000","0.186"
"28620000","0.1819"
"28680000","0.1715"
"28740000","0.1818"
"28800000","0.1875"
"28860000","0.1829"
"28920000","0.17289999999999997"
"28980000","0.1792"
"29040000","0.1955"
"29100000","0.1759"
"29160000","0.191"
"29220000","0.1841"
"29280000","0.1881"
"29340000","0.1925"
"29400000","0.1782"
"29460000","0.1901"
"29520000","0.1925"
"29580000","0.19989999999999997"
"29640000","0.1844"
"29700000","0.1916"
"29760000","0.17810000000000004"
"29820000","0.173"
"29880000","0.1829"
