"Step","diversified_novelty_pb - cover_rate_5step","diversified_novelty_pb_seed2 - cover_rate_5step","diversified_novelty_pb_seed3 - cover_rate_5step"
"25560000","0.5099999999999999","0.8158","0.9386"
"25740000","0.5206000000000001","0.8192","0.972"
"25920000","0.535","0.8238","0.972"
"26100000","0.5192","0.8056","0.9624"
"26280000","0.5077999999999999","0.8266","0.9626"
"26460000","0.5434","0.7962","0.978"
"26640000","0.5688","0.8178","0.9752"
"26820000","0.5327999999999999","0.823","0.9666"
"27000000","0.532","0.8348000000000001","0.9608"
"27180000","0.5482","0.794","0.9714"
"27360000","0.5052","0.7958","0.976"
"27540000","0.5396","0.8298","0.9674"
"27720000","0.5232","0.8302","0.9716"
"27900000","0.5424","0.8482","0.97"
"28080000","0.5504","0.814","0.976"
"28260000","0.537","0.8465999999999999","0.959"
"28440000","0.528","0.815","0.9788"
"28620000","0.5314000000000001","0.8148","0.9726"
"28800000","0.5456","0.832","0.9716"
"28980000","0.557","0.8314000000000001","0.9648"
"29160000","0.5572","0.8358","0.9624"
"29340000","0.5684","0.8386","0.9604"
"29520000","0.5676","0.8252","0.9772"
"29700000","0.5763999999999999","0.8478","0.972"
"29880000","0.5842","0.857","0.9786"
"30060000","0.567","0.8416","0.9798"
"30240000","0.5636000000000001","0.8288","0.9744"
"30420000","0.606","0.8312","0.9856"
"30600000","0.5705999999999999","0.8324","0.9776"
"30780000","0.604","0.8583999999999999","0.9764"
"30960000","0.5922","0.8418","0.9864"
"31140000","0.6167999999999999","0.8294","0.9714"
"31320000","0.5804","0.832","0.9736"
"31500000","0.5892000000000001","0.835","0.9766"
"31680000","0.6256","0.8305999999999999","0.9834"
"31860000","0.6014","0.852","0.9798"
"32040000","0.634","0.8422000000000001","0.9738"
"32220000","0.6372000000000001","0.8716","0.9796"
"32400000","0.6018","0.8332","0.9768"
"32580000","0.6344000000000001","0.854","0.9772"
"32760000","0.6286","0.8436","0.9768"
"32940000","0.6202","0.861","0.9854"
"33120000","0.626","0.8765999999999999","0.9774"
"33300000","0.644","0.8627999999999999","0.9772"
"33480000","0.637","0.8486","0.9796"
"33660000","0.67","0.863","0.98"
"33840000","0.6416","0.8514","0.981"
"34020000","0.687","0.8548","0.97"
"34200000","0.6676","0.856","0.9824"
"34380000","0.6632","0.8608000000000001","0.9764"
"34560000","0.6634","0.8677999999999999","0.9792"
"34740000","0.6557999999999999","0.868","0.9782"
"34920000","0.6564000000000001","0.8786","0.975"
"35100000","0.659","0.8762","0.9794"
"35280000","0.6946","0.8606","0.9752"
"35460000","0.6826","0.8747999999999999","0.9804"
"35640000","0.6758000000000001","0.8722000000000001","0.979"
"35820000","0.6828","0.8996000000000001","0.9838"
"36000000","0.6644000000000001","0.8553999999999999","0.981"
"36180000","0.693","0.8752000000000001","0.9718"
"36360000","0.7142000000000001","0.8864","0.985"
"36540000","0.687","0.8774","0.9828"
"36720000","0.6852","0.8874","0.9846"
"36900000","0.7074000000000001","0.887","0.979"
"37080000","0.7116","0.8855999999999999","0.9714"
"37260000","0.7045999999999999","0.8774","0.981"
"37440000","0.7172000000000001","0.8974","0.9776"
"37620000","0.7143999999999999","0.8817999999999999","0.9868"
"37800000","0.7367999999999999","0.8817999999999999","0.9804"
"37980000","0.7135999999999999","0.9038","0.9746"
"38160000","0.7268","0.9012","0.9758"
"38340000","0.7455999999999999","0.8904000000000001","0.9726"
"38520000","0.7183999999999999","0.8937999999999999","0.9876"
"38700000","0.7143999999999999","0.8704","0.983"
"38880000","0.754","0.8845999999999999","0.9694"
"39060000","0.7425999999999999","0.8932","0.9862"
"39240000","0.7382000000000001","0.8914","0.9842"
"39420000","0.7604000000000001","0.8852000000000001","0.9804"
"39600000","0.7535999999999999","0.8868","0.9796"
"39780000","0.7624000000000001","0.8814000000000001","0.9808"
"39960000","0.7617999999999999","0.896","0.984"
"40140000","0.7522000000000001","0.8857999999999999","0.9848"
"40320000","0.7734","0.8827999999999999","0.9814"
"40500000","0.7776","0.8835999999999999","0.9836"
"40680000","0.8024","0.8873999999999999","0.9802"
"40860000","0.7742","0.8782000000000001","0.9802"
"41040000","0.8054","0.8914000000000001","0.9796"
"41220000","0.791","0.8837999999999999","0.9788"
"41400000","0.7824000000000001","0.892","0.9774"
"41580000","0.7734","0.9012","0.981"
"41760000","0.7356000000000001","0.9124","0.9704"
"41940000","0.7576","0.906","0.9748"
"42120000","0.7584000000000001","0.8874","0.9872"
"42300000","0.7602000000000001","0.8894","0.9786"
"42480000","0.73","0.8872000000000001","0.975"
"42660000","0.7854","0.8994","0.9812"
"42840000","0.7802","0.896","0.97"
"43020000","0.785","0.8952","0.9752"
"43200000","0.793","0.894","0.9784"
"43380000","0.774","0.8938","0.97"
"43560000","0.8034","0.9074","0.9728"
