"Step","tech3_sp3_small_asym_seed1 - cover_rate_5step"
"105000","0"
"210000","0"
"315000","0"
"420000","0"
"525000","0"
"630000","0"
"735000","0"
"840000","0"
"945000","0"
"1050000","0"
"1155000","0"
"1260000","0"
"1365000","0"
"1470000","0"
"1575000","0"
"1680000","0.0003"
"1785000","0.0003"
"1890000","0.0006"
"1995000","0.0004"
"2100000","0.0024"
"2205000","0.0037"
"2310000","0.0011"
"2415000","0.0031000000000000003"
"2520000","0.0039"
"2625000","0.0029"
"2730000","0.0017"
"2835000","0.0023"
"2940000","0.0008"
"3045000","0.0015"
"3150000","0.0013"
"3255000","0.0012999999999999995"
"3360000","0.0026"
"3465000","0.0019"
"3570000","0.001"
"3675000","0.0028"
"3780000","0.0011"
"3885000","0.0007000000000000001"
"3990000","0.0008"
"4095000","0.0015"
"4200000","0.0028"
"4305000","0.0024"
"4410000","0.0023"
"4515000","0.002599999999999999"
"4620000","0.0031"
"4725000","0.0023"
"4830000","0.001"
"4935000","0.005600000000000001"
"5040000","0.0032"
"5145000","0.0006"
"5250000","0.0016"
"5355000","0.0026"
"5460000","0.0026"
"5565000","0.0023"
"5670000","0.0031"
"5775000","0.0017"
"5880000","0.0040999999999999995"
"5985000","0.0024"
"6090000","0.0018000000000000002"
"6195000","0.0026"
"6300000","0.0027"
"6405000","0.0016"
"6510000","0.0017"
"6615000","0.0026"
"6720000","0.0038999999999999994"
"6825000","0.0026"
"6930000","0.0028"
"7035000","0.0033"
"7140000","0.0043"
"7245000","0.0017"
"7350000","0.0017"
"7455000","0.0039"
"7560000","0.0016"
"7665000","0.0016"
"7770000","0.0031"
"7875000","0.002"
"7980000","0.0032"
"8085000","0.002"
"8190000","0.0035"
"8295000","0.0033"
"8400000","0.0045"
"8505000","0.0041"
"8610000","0.0037"
"8715000","0.0060999999999999995"
"8820000","0.0025"
"8925000","0.0071"
"9030000","0.005"
"9135000","0.005199999999999999"
"9240000","0.0063"
"9345000","0.0075"
"9450000","0.008"
"9555000","0.012"
"9660000","0.0113"
"9765000","0.016900000000000002"
"9870000","0.0214"
"9975000","0.0221"
"10080000","0.0265"
"10185000","0.019399999999999997"
"10290000","0.02030000000000001"
"10395000","0.0221"
"10500000","0.020799999999999996"
"10605000","0.0247"
"10710000","0.0179"
"10815000","0.0229"
"10920000","0.0199"
"11025000","0.0229"
"11130000","0.020700000000000003"
"11235000","0.0223"
"11340000","0.0212"
"11445000","0.025299999999999996"
"11550000","0.0182"
"11655000","0.022"
"11760000","0.0241"
"11865000","0.025"
"11970000","0.022"
"12075000","0.027399999999999997"
"12180000","0.0237"
"12285000","0.021200000000000004"
"12390000","0.0204"
"12495000","0.0204"
"12600000","0.0192"
"12705000","0.039"
"12810000","0.0441"
"12915000","0.0498"
"13020000","0.0575"
"13125000","0.062000000000000006"
"13230000","0.07690000000000001"
"13335000","0.0954"
"13440000","0.0991"
"13545000","0.0925"
"13650000","0.12960000000000002"
"13755000","0.113"
"13860000","0.1185"
"13965000","0.11"
"14070000","0.1354"
"14175000","0.1445"
"14280000","0.14670000000000002"
"14385000","0.1524"
"14490000","0.1589"
"14595000","0.16409999999999997"
"14700000","0.1847"
"14805000","0.17070000000000002"
"14910000","0.15180000000000002"
"15015000","0.147"
"15120000","0.1079"
"15225000","0.1279"
"15330000","0.1418"
"15435000","0.1484"
"15540000","0.15530000000000002"
"15645000","0.16010000000000002"
"15750000","0.17620000000000002"
"15855000","0.1778"
"15960000","0.16269999999999998"
"16065000","0.16829999999999998"
"16170000","0.1929"
"16275000","0.2193"
"16380000","0.2272"
"16485000","0.2294"
"16590000","0.2068"
"16695000","0.19429999999999997"
"16800000","0.2183"
"16905000","0.2779"
"17010000","0.2537"
"17115000","0.2734"
"17220000","0.2774"
"17325000","0.2931"
"17430000","0.2728"
"17535000","0.29860000000000003"
"17640000","0.31060000000000004"
"17745000","0.32230000000000003"
"17850000","0.32280000000000003"
"17955000","0.32639999999999997"
"18060000","0.3215"
"18165000","0.3409"
"18270000","0.33619999999999994"
"18375000","0.3356"
"18480000","0.3403"
"18585000","0.33080000000000004"
"18690000","0.34409999999999996"
"18795000","0.31980000000000003"
"18900000","0.3196"
"19005000","0.31339999999999996"
"19110000","0.3258"
"19215000","0.326"
"19320000","0.31620000000000004"
"19425000","0.32939999999999997"
"19530000","0.29919999999999997"
