"Step","transfer_0.9_initial_optimizer_seed1 - 8cover_rate"
"105000","0.82885"
"210000","0.8204"
"315000","0.8120999999999999"
"420000","0.79545"
"525000","0.8032"
"630000","0.8035"
"735000","0.8047000000000001"
"840000","0.8075999999999999"
"945000","0.81825"
"1050000","0.8168"
"1155000","0.8045"
"1260000","0.7957000000000001"
"1365000","0.7938"
"1470000","0.7965"
"1575000","0.80075"
"1680000","0.81355"
"1785000","0.80075"
"1890000","0.8032"
"1995000","0.80645"
"2100000","0.8106"
"2205000","0.8020999999999999"
"2310000","0.8088"
"2415000","0.7918499999999999"
"2520000","0.7867999999999999"
"2625000","0.79945"
"2730000","0.8195"
"2835000","0.82045"
"2940000","0.81445"
"3045000","0.818"
"3150000","0.82775"
"3255000","0.80295"
"3360000","0.80745"
"3465000","0.8072999999999999"
"3570000","0.8198499999999999"
"3675000","0.7703999999999999"
"3780000","0.7771"
"3885000","0.8035999999999999"
"3990000","0.8015"
"4095000","0.807"
"4200000","0.8075"
"4305000","0.8137"
"4410000","0.81075"
"4515000","0.81555"
"4620000","0.8211"
"4725000","0.8191"
"4830000","0.8229500000000001"
"4935000","0.82265"
"5040000","0.83715"
"5145000","0.83445"
"5250000","0.8255999999999999"
"5355000","0.8367"
"5460000","0.8348"
"5565000","0.84175"
"5670000","0.8389500000000001"
"5775000","0.8446499999999999"
"5880000","0.7900999999999999"
"5985000","0.8015"
"6090000","0.8079000000000001"
"6195000","0.8011499999999999"
"6300000","0.80555"
"6405000","0.82205"
"6510000","0.8216"
"6615000","0.83895"
"6720000","0.8392000000000001"
"6825000","0.8436999999999999"
"6930000","0.84925"
"7035000","0.8465499999999999"
"7140000","0.83725"
"7245000","0.84305"
"7350000","0.8418499999999999"
"7455000","0.8365499999999999"
"7560000","0.8309"
"7665000","0.83685"
"7770000","0.8353499999999999"
"7875000","0.8398"
"7980000","0.8233499999999999"
"8085000","0.82405"
"8190000","0.8297"
"8295000","0.84245"
"8400000","0.84165"
"8505000","0.847"
"8610000","0.8502000000000001"
"8715000","0.8638499999999999"
"8820000","0.8675499999999999"
"8925000","0.85945"
"9030000","0.8542"
"9135000","0.87925"
"9240000","0.87305"
"9345000","0.8816"
"9450000","0.88215"
"9555000","0.8879"
"9660000","0.8885"
"9765000","0.8906999999999999"
"9870000","0.8777999999999999"
"9975000","0.86915"
"10080000","0.8794500000000001"
"10185000","0.87725"
"10290000","0.88125"
"10395000","0.8837999999999999"
"10500000","0.87575"
"10605000","0.8732000000000001"
"10710000","0.86745"
"10815000","0.86205"
"10920000","0.8698499999999999"
"11025000","0.8657999999999999"
"11130000","0.87725"
"11235000","0.8860999999999999"
"11340000","0.8832000000000001"
"11445000","0.8813"
"11550000","0.8723"
"11655000","0.87985"
"11760000","0.8649"
"11865000","0.8828499999999999"
"11970000","0.8842000000000001"
"12075000","0.88315"
"12180000","0.8823499999999999"
"12285000","0.88235"
"12390000","0.89155"
"12495000","0.8856499999999999"
"12600000","0.8780999999999999"
"12705000","0.8482000000000001"
"12810000","0.8468499999999999"
"12915000","0.8685"
"13020000","0.8653500000000001"
"13125000","0.8563999999999999"
"13230000","0.85345"
"13335000","0.8409"
"13440000","0.8335"
"13545000","0.84735"
"13650000","0.8603"
"13755000","0.8873"
"13860000","0.8819"
"13965000","0.8973"
"14070000","0.9076"
"14175000","0.8232"
"14280000","0.8568000000000001"
"14385000","0.8607"
"14490000","0.8678499999999999"
"14595000","0.8692000000000001"
"14700000","0.867"
"14805000","0.875"
"14910000","0.8569"
"15015000","0.8608999999999999"
"15120000","0.8762000000000001"
"15225000","0.8794500000000001"
"15330000","0.9001"
"15435000","0.90585"
"15540000","0.89935"
"15645000","0.90235"
"15750000","0.9089"
"15855000","0.92855"
"15960000","0.91415"
"16065000","0.9177"
"16170000","0.8929499999999999"
"16275000","0.8863"
"16380000","0.8994500000000001"
"16485000","0.90165"
"16590000","0.6597000000000001"
"16695000","0.7448499999999999"
"16800000","0.7446999999999999"
"16905000","0.7923499999999999"
"17010000","0.81505"
"17115000","0.8263499999999999"
"17220000","0.82115"
"17325000","0.81445"
"17430000","0.8090499999999999"
"17535000","0.78255"
"17640000","0.7824500000000001"
"17745000","0.8145999999999999"
"17850000","0.8140499999999999"
"17955000","0.8413499999999999"
"18060000","0.8533999999999999"
"18165000","0.8498499999999999"
"18270000","0.8883"
"18375000","0.8931"
"18480000","0.89075"
"18585000","0.8854"
"18690000","0.87495"
"18795000","0.8997"
"18900000","0.9042"
"19005000","0.8939000000000001"
"19110000","0.897"
"19215000","0.8961499999999999"
"19320000","0.8960499999999999"
"19425000","0.8946000000000001"
"19530000","0.8923499999999999"
"19635000","0.90375"
"19740000","0.8914"
"19845000","0.8867"
"19950000","0.89635"
"20055000","0.9124"
"20160000","0.907"
"20265000","0.92655"
"20370000","0.9278"
"20475000","0.93465"
"20580000","0.9461"
"20685000","0.93965"
"20790000","0.9407"
"20895000","0.94"
"21000000","0.93325"
"21105000","0.9446"
"21210000","0.95115"
"21315000","0.9659"
"21420000","0.96485"
"21525000","0.9661"
"21630000","0.973"
"21735000","0.96975"
"21840000","0.97045"
"21945000","0.97275"
"22050000","0.97135"
"22155000","0.97385"
"22260000","0.88285"
"22365000","0.7307"
"22470000","0.7412000000000001"
"22575000","0.7523500000000001"
"22680000","0.7662"
"22785000","0.77455"
"22890000","0.7691999999999999"
"22995000","0.7772"
"23100000","0.7854"
"23205000","0.78585"
"23310000","0.7885"
"23415000","0.79225"
"23520000","0.7908499999999999"
"23625000","0.79745"
"23730000","0.8047000000000001"
"23835000","0.8081499999999999"
"23940000","0.8105500000000001"
"24045000","0.8112999999999999"
"24150000","0.8151"
"24255000","0.82775"
"24360000","0.8366500000000001"
"24465000","0.84905"
"24570000","0.85415"
"24675000","0.8553499999999999"
"24780000","0.8572"
"24885000","0.87025"
"24990000","0.86545"
"25095000","0.86705"
"25200000","0.85265"
"25305000","0.86475"
"25410000","0.87975"
"25515000","0.883"
"25620000","0.88685"
"25725000","0.8878999999999999"
"25830000","0.8804000000000001"
"25935000","0.8882000000000001"
"26040000","0.89555"
"26145000","0.8932"
"26250000","0.9023"
"26355000","0.9000499999999999"
"26460000","0.8956500000000001"
"26565000","0.8897999999999999"
"26670000","0.9039"
"26775000","0.90095"
"26880000","0.9073"
"26985000","0.9161"
"27090000","0.92175"
"27195000","0.93045"
"27300000","0.93375"
"27405000","0.9344"
"27510000","0.93195"
"27615000","0.9369"
"27720000","0.9378"
"27825000","0.9374"
"27930000","0.9454"
"28035000","0.93015"
"28140000","0.92695"
"28245000","0.93325"
"28350000","0.7137"
"28455000","0.7302000000000001"
"28560000","0.73225"
"28665000","0.7682"
"28770000","0.78975"
"28875000","0.8199500000000001"
"28980000","0.8386500000000001"
"29085000","0.85025"
"29190000","0.8737"
"29295000","0.8853499999999999"
"29400000","0.8961499999999999"
"29505000","0.90025"
"29610000","0.909"
"29715000","0.91935"
"29820000","0.9188"
"29925000","0.9281"
"30030000","0.92065"
"30135000","0.9337"
"30240000","0.9322"
"30345000","0.93865"
"30450000","0.9398"
"30555000","0.9339"
"30660000","0.9373"
"30765000","0.93545"
"30870000","0.938"
"30975000","0.9419"
"31080000","0.9491"
"31185000","0.9548"
"31290000","0.95165"
"31395000","0.9515"
"31500000","0.9374"
"31605000","0.94425"
"31710000","0.9615"
"31815000","0.9591"
"31920000","0.9633"
"32025000","0.9659"
"32130000","0.972"
"32235000","0.9689"
"32340000","0.9715"
"32445000","0.97465"
"32550000","0.97575"
"32655000","0.9655"
"32760000","0.9601"
"32865000","0.96755"
"32970000","0.96785"
"33075000","0.9778"
"33180000","0.9793"
"33285000","0.9761"
"33390000","0.9745"
"33495000","0.974"
"33600000","0.97435"
"33705000","0.97445"
"33810000","0.9739"
"33915000","0.9762"
"34020000","0.9778"
"34125000","0.98005"
"34230000","0.9803"
"34335000","0.97965"
"34440000","0.9817"
"34545000","0.9755"
"34650000","0.9725"
"34755000","0.96915"
"34860000","0.9695"
"34965000","0.95855"
"35070000","0.95345"
"35175000","0.94815"
"35280000","0.95055"
"35385000","0.9549"
"35490000","0.9518"
"35595000","0.9572"
"35700000","0.97575"
"35805000","0.9815"
"35910000","0.977"
"36015000","0.97405"
"36120000","0.9618"
"36225000","0.96705"
"36330000","0.9642"
"36435000","0.95425"
"36540000","0.9723999999999998"
"36645000","0.9799"
"36750000","0.9843"
"36855000","0.9826"
"36960000","0.9809"
"37065000","0.9792"
"37170000","0.9818"
"37275000","0.9825"
"37380000","0.976"
"37485000","0.98255"
"37590000","0.97895"
"37695000","0.9711"
"37800000","0.95115"
"37905000","0.959"
"38010000","0.9674"
"38115000","0.97355"
