"Step","sp_wo_evaluation_seed2 - cover_rate_1step"
"31815000","0.8915"
"31920000","0.8965"
"32025000","0.9165"
"32130000","0.904"
"32235000","0.904"
"32340000","0.911"
"32445000","0.897"
"32550000","0.8955"
"32655000","0.911"
"32760000","0.893"
"32865000","0.888"
"32970000","0.9075"
"33075000","0.885"
"33180000","0.875"
"33285000","0.884"
"33390000","0.8905"
"33495000","0.8905"
"33600000","0.8795"
"33705000","0.903"
"33810000","0.893"
"33915000","0.888"
"34020000","0.8935"
"34125000","0.8795"
"34230000","0.886"
"34335000","0.9045"
"34440000","0.912"
"34545000","0.903"
"34650000","0.903"
"34755000","0.912"
"34860000","0.906"
"34965000","0.9125"
"35070000","0.9095"
"35175000","0.9135"
"35280000","0.9175"
"35385000","0.923"
"35490000","0.9195"
"35595000","0.9205"
"35700000","0.9135"
"35805000","0.913"
"35910000","0.917"
"36015000","0.911"
"36120000","0.9235"
"36225000","0.906"
"36330000","0.907"
"36435000","0.907"
"36540000","0.9175"
"36645000","0.896"
"36750000","0.902"
"36855000","0.8925"
"36960000","0.898"
"37065000","0.904"
"37170000","0.891"
"37275000","0.9055"
"37380000","0.905"
"37485000","0.919"
"37590000","0.9125"
"37695000","0.9155"
"37800000","0.9125"
"37905000","0.927"
"38010000","0.9195"
"38115000","0.916"
"38220000","0.9015"
"38325000","0.9135"
"38430000","0.92"
"38535000","0.9095"
"38640000","0.913"
"38745000","0.909"
"38850000","0.927"
"38955000","0.9225"
"39060000","0.9175"
"39165000","0.895"
"39270000","0.925"
"39375000","0.9305"
"39480000","0.931"
"39585000","0.9235"
"39690000","0.924"
"39795000","0.931"
"39900000","0.933"
