"Step","pb_active_expansion_seed2 - 2cover_rate_5step"
"49680000","0.813"
"49860000","0.8228"
"50040000","0.814"
"50220000","0.816"
"50400000","0.8198"
"50580000","0.8208"
"50760000","0.835"
"50940000","0.817"
"51120000","0.839"
"51300000","0.839"
"51480000","0.8185999999999999"
"51660000","0.8575999999999999"
"51840000","0.8416"
"52020000","0.8504"
"52200000","0.8434"
"52380000","0.8535999999999999"
"52560000","0.8438000000000001"
"52740000","0.8398"
"52920000","0.8452000000000001"
"53100000","0.8582000000000001"
"53280000","0.8463999999999999"
"53460000","0.858"
"53640000","0.8612000000000001"
"53820000","0.8533999999999999"
"54000000","0.8582000000000001"
"54180000","0.8616"
"54360000","0.86"
"54540000","0.8714"
"54720000","0.8525999999999999"
"54900000","0.899"
"55080000","0.8884000000000001"
"55260000","0.8772000000000001"
"55440000","0.8877999999999999"
"55620000","0.7822"
"55800000","0.8265999999999999"
"55980000","0.805"
"56160000","0.8134000000000001"
"56340000","0.828"
"56520000","0.8334"
"56700000","0.8205999999999999"
"56880000","0.8402000000000001"
"57060000","0.8488000000000001"
"57240000","0.8324000000000001"
"57420000","0.8428"
"57600000","0.8224000000000001"
"57780000","0.8274"
"57960000","0.8132"
"58140000","0.8438"
"58320000","0.8426"
"58500000","0.824"
"58680000","0.8351999999999999"
"58860000","0.8384000000000001"
"59040000","0.8208"
"59220000","0.8715999999999999"
"59400000","0.8586"
"59580000","0.836"
"59760000","0.8336"
"59940000","0.845"
"60120000","0.8568"
"60300000","0.8546"
"60480000","0.8485999999999999"
"60660000","0.859"
"60840000","0.8598"
"61020000","0.8508000000000001"
"61200000","0.844"
"61380000","0.8692000000000001"
"61560000","0.8734"
"61740000","0.8566"
"61920000","0.8562000000000001"
"62100000","0.8544"
"62280000","0.8662000000000001"
"62460000","0.8684"
"62640000","0.8652000000000001"
"62820000","0.8712000000000001"
"63000000","0.8806"
"63180000","0.8634"
"63360000","0.8647999999999999"
"63540000","0.8725999999999999"
"63720000","0.8705999999999999"
"63900000","0.8817999999999999"
"64080000","0.8722000000000001"
