"Step","reverse_eval1_sp_seed1 - cover_rate_5step"
"9765000","0.2306"
"9800000","0.232"
"9835000","0.2149"
"9870000","0.244"
"9905000","0.1957"
"9940000","0.2197"
"9975000","0.2184"
"10010000","0.2125"
"10045000","0.2012"
"10080000","0.2178"
"10115000","0.2194"
"10150000","0.2017"
"10185000","0.2134"
"10220000","0.21640000000000004"
"10255000","0.2068"
"10290000","0.2339"
"10325000","0.2285"
"10360000","0.2255"
"10395000","0.2309"
"10430000","0.235"
"10465000","0.196"
"10500000","0.2307"
"10535000","0.2152"
"10570000","0.2383"
"10605000","0.23310000000000003"
"10640000","0.2273"
"10675000","0.2222"
"10710000","0.24570000000000003"
"10745000","0.2108"
"10780000","0.2281"
"10815000","0.2185"
"10850000","0.227"
"10885000","0.2148"
"10920000","0.2396"
"10955000","0.2234"
"10990000","0.2119"
"11025000","0.2149"
"11060000","0.24790000000000004"
"11095000","0.2264"
"11130000","0.2405"
"11165000","0.2183"
"11200000","0.2106"
"11235000","0.2365"
"11270000","0.2434"
"11305000","0.2473"
"11340000","0.23239999999999997"
"11375000","0.2402"
"11410000","0.20710000000000003"
"11445000","0.23"
"11480000","0.227"
"11515000","0.26630000000000004"
"11550000","0.2386"
"11585000","0.2348"
"11620000","0.2271"
"11655000","0.2652"
"11690000","0.26189999999999997"
"11725000","0.2392"
"11760000","0.2209"
"11795000","0.2393"
"11830000","0.25980000000000003"
"11865000","0.2418"
"11900000","0.2396"
"11935000","0.2486"
"11970000","0.2203"
"12005000","0.23089999999999997"
"12040000","0.2446"
"12075000","0.2523"
"12110000","0.2198"
"12145000","0.2544"
"12180000","0.2493"
"12215000","0.26080000000000003"
"12250000","0.2419"
"12285000","0.27170000000000005"
"12320000","0.26080000000000003"
"12355000","0.26030000000000003"
"12390000","0.2719"
"12425000","0.2605"
"12460000","0.2603"
"12495000","0.2493"
"12530000","0.254"
"12565000","0.2524"
"12600000","0.2717"
"12635000","0.26339999999999997"
"12670000","0.262"
"12705000","0.2583"
"12740000","0.24499999999999997"
"12775000","0.2502"
"12810000","0.27659999999999996"
"12845000","0.2626"
"12880000","0.2917"
"12915000","0.2745"
"12950000","0.3014"
"12985000","0.2869"
"13020000","0.2921"
"13055000","0.2769"
"13090000","0.301"
"13125000","0.2786"
"13160000","0.30260000000000004"
"13195000","0.26430000000000003"
"13230000","0.28370000000000006"
"13265000","0.2846"
"13300000","0.30360000000000004"
"13335000","0.3087"
"13370000","0.2861"
"13405000","0.29969999999999997"
"13440000","0.2917"
"13475000","0.28320000000000006"
"13510000","0.29"
"13545000","0.298"
"13580000","0.299"
"13615000","0.2739"
"13650000","0.29170000000000007"
"13685000","0.2899"
"13720000","0.2874"
"13755000","0.2943"
"13790000","0.2999"
"13825000","0.2754"
"13860000","0.2906"
"13895000","0.29"
"13930000","0.2907"
"13965000","0.2753"
"14000000","0.2818"
"14035000","0.288"
"14070000","0.30079999999999996"
"14105000","0.302"
"14140000","0.316"
"14175000","0.3333"
"14210000","0.3125"
"14245000","0.2945"
"14280000","0.2938"
"14315000","0.3187"
"14350000","0.311"
"14385000","0.31479999999999997"
"14420000","0.31710000000000005"
"14455000","0.2885"
"14490000","0.3135"
"14525000","0.3173"
"14560000","0.29469999999999996"
"14595000","0.3049"
"14630000","0.3147"
"14665000","0.31810000000000005"
"14700000","0.32059999999999994"
"14735000","0.2992"
"14770000","0.3113000000000001"
"14805000","0.3123"
"14840000","0.30860000000000004"
"14875000","0.3056"
"14910000","0.3045"
"14945000","0.3082"
"14980000","0.31520000000000004"
"15015000","0.31670000000000004"
"15050000","0.298"
"15085000","0.32780000000000004"
"15120000","0.309"
"15155000","0.324"
"15190000","0.337"
"15225000","0.31370000000000003"
"15260000","0.332"
"15295000","0.32889999999999997"
"15330000","0.3365"
"15365000","0.3302"
"15400000","0.31610000000000005"
"15435000","0.333"
"15470000","0.32389999999999997"
"15505000","0.342"
"15540000","0.3134"
"15575000","0.3488"
"15610000","0.3422"
"15645000","0.33820000000000006"
"15680000","0.31270000000000003"
"15715000","0.3266"
"15750000","0.322"
"15785000","0.3286"
"15820000","0.3422"
"15855000","0.33020000000000005"
"15890000","0.3559"
"15925000","0.3329"
"15960000","0.306"
"15995000","0.3428"
"16030000","0.3504"
"16065000","0.35379999999999995"
"16100000","0.3478"
"16135000","0.3498"
"16170000","0.353"
"16205000","0.3404"
"16240000","0.3452"
"16275000","0.3363"
"16310000","0.3549"
"16345000","0.3468"
"16380000","0.3085"
"16415000","0.3481"
"16450000","0.3776"
"16485000","0.349"
"16520000","0.34979999999999994"
"16555000","0.3402"
"16590000","0.3445"
"16625000","0.3448"
"16660000","0.3463"
"16695000","0.34740000000000004"
"16730000","0.3458"
"16765000","0.3391"
"16800000","0.34900000000000003"
"16835000","0.348"
"16870000","0.3342"
"16905000","0.3325"
"16940000","0.3321"
"16975000","0.3528"
"17010000","0.3366"
"17045000","0.3446"
"17080000","0.3401"
"17115000","0.34669999999999995"
"17150000","0.3378"
"17185000","0.3396"
"17220000","0.35329999999999995"
"17255000","0.3431"
"17290000","0.3443"
"17325000","0.33980000000000005"
"17360000","0.3321"
"17395000","0.3534"
"17430000","0.33869999999999995"
"17465000","0.35070000000000007"
"17500000","0.3387"
"17535000","0.33770000000000006"
"17570000","0.3435"
"17605000","0.35529999999999995"
"17640000","0.3463"
"17675000","0.3453"
"17710000","0.35640000000000005"
"17745000","0.3426"
"17780000","0.3555"
"17815000","0.353"
"17850000","0.34379999999999994"
"17885000","0.31579999999999997"
"17920000","0.3656"
"17955000","0.3379"
"17990000","0.3554"
"18025000","0.3485"
"18060000","0.3361"
"18095000","0.32430000000000003"
"18130000","0.3456"
"18165000","0.3838"
"18200000","0.3703999999999999"
"18235000","0.3564"
"18270000","0.3446"
"18305000","0.3345"
"18340000","0.3506"
"18375000","0.3417"
"18410000","0.35459999999999997"
"18445000","0.3435"
"18480000","0.3702"
"18515000","0.3614"
"18550000","0.3893"
"18585000","0.3599"
"18620000","0.352"
"18655000","0.3668"
"18690000","0.35119999999999996"
"18725000","0.3588"
"18760000","0.3743"
"18795000","0.35860000000000003"
"18830000","0.3496"
"18865000","0.3438"
"18900000","0.3888"
"18935000","0.3658"
"18970000","0.3607999999999999"
"19005000","0.35429999999999995"
"19040000","0.345"
"19075000","0.3456"
"19110000","0.369"
"19145000","0.3607999999999999"
"19180000","0.34080000000000005"
"19215000","0.3569"
"19250000","0.368"
"19285000","0.35179999999999995"
"19320000","0.3735"
"19355000","0.3718"
"19390000","0.3672"
"19425000","0.36780000000000007"
"19460000","0.3775"
"19495000","0.353"
"19530000","0.3822"
"19565000","0.3741"
"19600000","0.3806000000000001"
"19635000","0.3698"
"19670000","0.371"
"19705000","0.369"
"19740000","0.3804"
"19775000","0.3727"
"19810000","0.3819"
"19845000","0.3793"
"19880000","0.3717"
"19915000","0.3728"
"19950000","0.376"
"19985000","0.3646"
"20020000","0.4056"
"20055000","0.3781000000000001"
"20090000","0.3891"
"20125000","0.4003"
"20160000","0.3704"
"20195000","0.3849"
"20230000","0.3932"
"20265000","0.3941"
"20300000","0.3988"
"20335000","0.3741999999999999"
"20370000","0.3858"
"20405000","0.3835"
"20440000","0.378"
"20475000","0.38109999999999994"
"20510000","0.3677"
"20545000","0.3833"
"20580000","0.39720000000000005"
"20615000","0.3833"
"20650000","0.3837"
"20685000","0.3962000000000001"
"20720000","0.386"
"20755000","0.374"
"20790000","0.3854"
"20825000","0.3976"
"20860000","0.3988"
"20895000","0.3826"
"20930000","0.3806000000000001"
"20965000","0.3763"
"21000000","0.3973"
"21035000","0.3716"
"21070000","0.3953"
"21105000","0.4101"
"21140000","0.3794"
"21175000","0.3757"
"21210000","0.3812"
"21245000","0.3966"
"21280000","0.3913"
"21315000","0.3728999999999999"
"21350000","0.3829"
"21385000","0.3847"
"21420000","0.3829"
"21455000","0.3745"
"21490000","0.3796000000000001"
"21525000","0.3844"
"21560000","0.3787"
"21595000","0.3872"
"21630000","0.3858"
"21665000","0.388"
"21700000","0.4164"
