"Step","phase_sp_ppotrue_seed1 - 8cover_rate"
"29505000","0.9833"
"29610000","0.9882"
"29715000","0.98615"
"29820000","0.98635"
"29925000","0.98485"
"30030000","0.986"
"30135000","0.9857"
"30240000","0.9882"
"30345000","0.9887"
"30450000","0.98425"
"30555000","0.9851"
"30660000","0.98655"
"30765000","0.9837"
"30870000","0.98335"
"30975000","0.98175"
"31080000","0.98165"
"31185000","0.9819"
"31290000","0.9836"
"31395000","0.989"
"31500000","0.98225"
"31605000","0.9791"
"31710000","0.9771"
"31815000","0.9842"
"31920000","0.98085"
"32025000","0.98715"
"32130000","0.98485"
"32235000","0.98805"
