Step,transfer_pb_woclip_onlytrain4_seed2 - 4cover_rate
0,0.6113
180000,0.545
360000,0.5377
540000,0.5311
720000,0.531
900000,0.5078
1080000,0.4953
1260000,0.4856
1440000,0.4758
1620000,0.4507
1800000,0.4377
1980000,0.4309
2160000,0.4071
2340000,0.3815
2520000,0.388
2700000,0.4002
2880000,0.4055
3060000,0.3833
3240000,0.4026
3420000,0.409
3600000,0.3998
3780000,0.4023
3960000,0.3976
4140000,0.4049
4320000,0.3965
4500000,0.4131
4680000,0.4281
4860000,0.415
5040000,0.4229
5220000,0.4161
5400000,0.4389
5580000,0.4338
5760000,0.4364
5940000,0.4278
6120000,0.4432
6300000,0.4395
6480000,0.4273
6660000,0.4415
6840000,0.4159
7020000,0.4059
7200000,0.3998
7380000,0.3985
7560000,0.3887
7740000,0.3774
7920000,0.3808
8100000,0.3835
8280000,0.388
8460000,0.3808
8640000,0.3638
8820000,0.3665
9000000,0.3511
9180000,0.3466
9360000,0.3558
9540000,0.3627
9720000,0.3662
9900000,0.3602
10080000,0.3497
10260000,0.3553
10440000,0.3543
10620000,0.3573
10800000,0.3714
10980000,0.3732
11160000,0.3511
11340000,0.3431
11520000,0.345
11700000,0.3619
11880000,0.3499
12060000,0.345
12240000,0.3512
12420000,0.3562
12600000,0.3532
12780000,0.3603
12960000,0.342
13140000,0.3599
13320000,0.3408
13500000,0.3484
13680000,0.3476
13860000,0.363
14040000,0.3582
14220000,0.3641
14400000,0.3624
14580000,0.3528
14760000,0.3579
14940000,0.3693
15120000,0.3632
15300000,0.3646
15480000,0.3581
15660000,0.3561
15840000,0.3513
16020000,0.3586
16200000,0.3515
16380000,0.3507
16560000,0.3647
16740000,0.3531
16920000,0.3616
17100000,0.3562
17280000,0.3611
17460000,0.3714
17640000,0.3599
17820000,0.3672
18000000,0.3586
18180000,0.3586
18360000,0.3659
18540000,0.3757
18720000,0.3655
18900000,0.3763
19080000,0.3805
19260000,0.3515
19440000,0.3677
19620000,0.3601
19800000,0.3696
19980000,0.3487
20160000,0.3684
20340000,0.3668
20520000,0.3782
20700000,0.3724
20880000,0.3728
21060000,0.3887
21240000,0.3699
21420000,0.357
21600000,0.3644
21780000,0.3868
21960000,0.3811
22140000,0.3838
22320000,0.4015
22500000,0.3884
22680000,0.3847
22860000,0.3888
23040000,0.3989
23220000,0.3914
23400000,0.3878
23580000,0.3812
23760000,0.3887
23940000,0.3883
24120000,0.3885
24300000,0.3793
24480000,0.3878
24660000,0.3825
24840000,0.3786
25020000,0.3797
25200000,0.3867
25380000,0.3909
25560000,0.3937
25740000,0.409
25920000,0.3843
26100000,0.4076
26280000,0.4144
26460000,0.391
26640000,0.4024
26820000,0.3876
27000000,0.3936
