"Step","decay_fre30iter_add0.1_load_optimizer_seed3 - 8cover_rate"
"199290","0.8251000000000001"
"398580","0.83705"
"597870","0.7605"
"797160","0.7827"
"996450","0.7898999999999999"
"1195740","0.7915999999999999"
"1395030","0.8130499999999999"
"1594320","0.8216"
"1793610","0.8208499999999999"
"1992900","0.8194499999999999"
"2181900","0.83145"
"2370900","0.8228"
"2559900","0.81695"
"2748900","0.83105"
"2937900","0.8271499999999998"
"3126900","0.829"
"3315900","0.8327"
"3504900","0.83515"
"3693900","0.8378000000000001"
"3882900","0.8336500000000001"
"4061610","0.8349"
"4240320","0.8304499999999999"
"4419030","0.8389500000000001"
"4597740","0.8315499999999999"
"4776450","0.8335"
"4955160","0.8206"
"5133870","0.8251999999999999"
"5312580","0.8308999999999999"
"5491290","0.8311"
"5670000","0.8296"
"5838000","0.8325499999999999"
"6006000","0.83645"
"6174000","0.82365"
"6342000","0.8364"
"6510000","0.8265"
"6678000","0.8274000000000001"
"6846000","0.82725"
"7014000","0.83415"
"7182000","0.8309500000000001"
"7350000","0.82475"
"7507290","0.82555"
"7664580","0.823"
"7821870","0.8178"
"7979160","0.8266500000000001"
"8136450","0.84375"
"8293740","0.85195"
"8451030","0.83375"
"8608320","0.8389500000000001"
"8765610","0.8605999999999999"
"8922900","0.86365"
"9069900","0.83905"
"9216900","0.8608"
"9363900","0.86195"
"9510900","0.8723000000000001"
"9657900","0.8616499999999999"
"9804900","0.8627999999999999"
"9951900","0.8525499999999999"
"10098900","0.8644"
"10245900","0.8662000000000001"
"10392900","0.8622000000000001"
"10529400","0.8424"
"10665900","0.8271000000000001"
"10802400","0.8224999999999999"
"10938900","0.82935"
"11075400","0.83565"
"11211900","0.83165"
"11348400","0.8348"
"11484900","0.8466499999999999"
"11621400","0.8503499999999999"
"11757900","0.8538"
"11883900","0.85175"
"12009900","0.8633"
"12135900","0.8717999999999999"
"12261900","0.85275"
"12387900","0.85665"
"12513900","0.85835"
"12639900","0.8598499999999999"
"12765900","0.8425499999999999"
"12891900","0.854"
"13017900","0.84345"
"13133190","0.85915"
"13248480","0.8548"
"13363770","0.8622"
"13479060","0.8724999999999998"
"13594350","0.87895"
"13709640","0.8848499999999999"
"13824930","0.8807999999999999"
"13940220","0.8928499999999999"
"14055510","0.8928499999999999"
"14170800","0.88635"
"14275800","0.87725"
"14380800","0.88475"
"14485800","0.89615"
"14590800","0.90695"
"14695800","0.88485"
"14800800","0.89945"
"14905800","0.9003"
"15010800","0.8961499999999999"
"15115800","0.89615"
"15220800","0.89535"
