"Step","pb_4agents_seed3 - 4cover_rate"
"60000","0.0574"
"120000","0.068"
"180000","0.0675"
"240000","0.0755"
"300000","0.058"
"360000","0.063"
"420000","0.063"
"480000","0.0555"
"540000","0.0645"
"600000","0.059"
"660000","0.065"
"720000","0.074"
"780000","0.065"
"840000","0.0635"
"900000","0.066"
"960000","0.0695"
"1020000","0.064"
"1080000","0.061"
"1140000","0.0655"
"1200000","0.063"
"1260000","0.071"
"1320000","0.0605"
"1380000","0.0595"
"1440000","0.0735"
"1500000","0.0655"
"1560000","0.0625"
"1620000","0.0775"
"1680000","0.058"
"1740000","0.0655"
"1800000","0.0605"
"1860000","0.063"
"1920000","0.067"
"1980000","0.0645"
"2040000","0.071"
"2100000","0.0613"
"2160000","0.0725"
"2220000","0.074"
"2280000","0.0684"
"2340000","0.065"
"2400000","0.094"
"2460000","0.0727"
"2520000","0.068"
"2580000","0.0788"
"2640000","0.0665"
"2700000","0.0829"
"2760000","0.0785"
"2820000","0.07740000000000001"
"2880000","0.08"
"2940000","0.07579999999999999"
"3000000","0.0845"
"3060000","0.0695"
"3120000","0.0711"
"3180000","0.0705"
"3240000","0.0665"
"3300000","0.0755"
"3360000","0.0729"
"3420000","0.074"
"3480000","0.0765"
"3540000","0.0867"
"3600000","0.0777"
"3660000","0.0805"
"3720000","0.079"
"3780000","0.072"
"3840000","0.091"
"3900000","0.0858"
"3960000","0.0795"
"4020000","0.0773"
"4080000","0.07759999999999999"
"4140000","0.087"
"4200000","0.0935"
"4260000","0.08990000000000001"
"4320000","0.07629999999999999"
"4380000","0.0876"
"4440000","0.08259999999999999"
"4500000","0.0835"
"4560000","0.0818"
"4620000","0.0767"
"4680000","0.0805"
"4740000","0.07659999999999999"
"4800000","0.0938"
"4860000","0.07319999999999999"
"4920000","0.0798"
"4980000","0.092"
"5040000","0.0814"
"5100000","0.093"
"5160000","0.0976"
"5220000","0.0988"
"5280000","0.0975"
"5340000","0.0996"
"5400000","0.0939"
"5460000","0.1048"
"5520000","0.0833"
"5580000","0.0945"
"5640000","0.09819999999999998"
"5700000","0.0918"
"5760000","0.0955"
"5820000","0.0851"
"5880000","0.114"
"5940000","0.0971"
"6000000","0.1056"
"6060000","0.086"
"6120000","0.105"
"6180000","0.1055"
"6240000","0.1097"
"6300000","0.1134"
"6360000","0.1066"
"6420000","0.1149"
"6480000","0.1104"
"6540000","0.1202"
"6600000","0.1152"
"6660000","0.1363"
"6720000","0.1205"
"6780000","0.1134"
"6840000","0.1152"
"6900000","0.1129"
"6960000","0.1136"
"7020000","0.1135"
"7080000","0.1202"
